Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarts
,Structure Work,Ground Floor,,25mm Rod,GPH,"1,194.50",Kg,64,76448,
,Structure Work,Ground Floor,,Cement (OPC/ CEM I),Fresh,607.25,Bag,400,242900,
,Structure Work,Ground Floor,,Cement (PCC/ CEM II),Fresh,,Bag,,0,
,Structure Work,Ground Floor,,Sand (FM 2.50),APCS,961.82,Cft,48,46167.36,
,Structure Work,Ground Floor,,Sand (FM 1.50),APCS,222.31,Cft,28,6224.68,
,Structure Work,Ground Floor,,Viti Sand,APCS,,Cft,,0,
,Structure Work,Ground Floor,,18mm single stone,APCS,,Cft,,0,
,Structure Work,Ground Floor,,18mm crushed stone,APCS,"2,296.40",Cft,180,413352,
,Structure Work,Ground Floor,,12mm crushed stone,APCS,,Cft,,0,
,Structure Work,Ground Floor,,18mm Brick Chips,APCS,,Cft,,0,
,Structure Work,Ground Floor,,1st class Brick,APCS,,nos,,0,
,Structure Work,Ground Floor,,2nd class Brick,APCS,,nos,,0,
,Structure Work,Ground Floor,,Picket Brick,APCS,,nos,,0,
,Structure Work,Ground Floor,,Chemical (ConLub),Baral,146.92,Litre,145,21303.4,
,Structure Work,Ground Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,Ground Floor,,Contrator Bill,185@50%,"3,291.94",Sft,92.5,304504.45,
,Structure Work,Ground Floor,,Form Work,,,,,0,
,Structure Work,1st Floor,,08mm Rod,GPH,,,,0,
,Structure Work,1st Floor,,10mm Rod,GPH,"5,209.18",Kg,64,333387.52,
,Structure Work,1st Floor,,12mm Rod,GPH,"1,295.85",Kg,64,82934.4,
,Structure Work,1st Floor,,16mm Rod,GPH,296.96,Kg,64,19005.44,
,Structure Work,1st Floor,,20mm Rod,GPH,"4,230.98",Kg,64,270782.72,
,Structure Work,1st Floor,,22mm Rod,GPH,,,,0,
,Structure Work,1st Floor,,25mm Rod,GPH,"1,194.50",Kg,64,76448,
,Structure Work,1st Floor,,Cement (OPC/ CEM I),Fresh,565.68,Bag,400,226272,
,Structure Work,1st Floor,,Cement (PCC/ CEM II),Fresh,,,,0,
,Structure Work,1st Floor,,Sand (FM 2.50),APCS,887.57,Cft,48,42603.36,
,Structure Work,1st Floor,,Sand (FM 1.50),APCS,206.05,Cft,28,5769.4,
,Structure Work,1st Floor,,Viti Sand,APCS,,,,0,
,Structure Work,1st Floor,,18mm single stone,APCS,,,,0,
,Structure Work,1st Floor,,18mm crushed stone,APCS,"2,143.37",Cft,180,385806.6,
,Structure Work,1st Floor,,12mm crushed stone,APCS,,,,0,
,Structure Work,1st Floor,,18mm Brick Chips,APCS,,,,0,
,Structure Work,1st Floor,,1st class Brick,APCS,,,,0,
,Structure Work,1st Floor,,2nd class Brick,APCS,,,,0,
,Structure Work,1st Floor,,Picket Brick,APCS,,,,0,
,Structure Work,1st Floor,,Chemical (ConLub),Baral,136.52,Litre,145,19795.4,
,Structure Work,1st Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,1st Floor,,Contrator Bill,192@50%,"3,288.57",Sft,96,315702.72,
,Structure Work,1st Floor,,Form Work,,,,,0,
,Structure Work,2nd Floor,,08mm Rod,,,,,0,
,Structure Work,2nd Floor,,10mm Rod,GPH,"5,376.13",Kg,70,376329.1,
,Structure Work,2nd Floor,,12mm Rod,GPH,"1,311.98",Kg,70,91838.6,
,Structure Work,2nd Floor,,16mm Rod,GPH,503.3,Kg,70,35231,
,Structure Work,2nd Floor,,20mm Rod,GPH,"4,049.63",Kg,70,283474.1,
,Structure Work,2nd Floor,,22mm Rod,,,,,0,
,Structure Work,2nd Floor,,25mm Rod,GPH,597.25,Kg,70,41807.5,
,Structure Work,2nd Floor,,Cement (OPC/ CEM I),Fresh,585.66,Bag,425,248905.5,
,Structure Work,2nd Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,2nd Floor,,Sand (FM 2.50),APCS,913.47,Cft,52,47500.44,
,Structure Work,2nd Floor,,Sand (FM 1.50),APCS,209,Cft,28,5852,
,Structure Work,2nd Floor,,Viti Sand,,,,,0,
,Structure Work,2nd Floor,,18mm single stone,,,,,0,
,Structure Work,2nd Floor,,18mm crushed stone,APCS,"2,221.06",Cft,190,422001.4,
,Structure Work,2nd Floor,,12mm crushed stone,,,,,0,
,Structure Work,2nd Floor,,18mm Brick Chips,,,,,0,
,Structure Work,2nd Floor,,1st class Brick,,,,,0,
,Structure Work,2nd Floor,,2nd class Brick,,,,,0,
,Structure Work,2nd Floor,,Picket Brick,,,,,0,
,Structure Work,2nd Floor,,Chemical (ConLub),Baral,141.61,Litre,145,20533.45,
,Structure Work,2nd Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,2nd Floor,,Contrator Bill,199@50%,"3,351.40",Sft,99.5,333464.3,
,Structure Work,2nd Floor,,Form Work,,,,,0,
,Structure Work,3rd Floor,,08mm Rod,,,,,0,
,Structure Work,3rd Floor,,10mm Rod,GPH,"5,237.28",Kg,70,366609.6,
,Structure Work,3rd Floor,,12mm Rod,GPH,"1,307.58",Kg,70,91530.6,
,Structure Work,3rd Floor,,16mm Rod,GPH,503.3,Kg,70,35231,
,Structure Work,3rd Floor,,20mm Rod,GPH,"4,049.63",Kg,70,283474.1,
,Structure Work,3rd Floor,,22mm Rod,,,,,0,
,Structure Work,3rd Floor,,25mm Rod,GPH,597.25,Kg,70,41807.5,
,Structure Work,3rd Floor,,Cement (OPC/ CEM I),Fresh,568.11,Bag,425,241446.75,
,Structure Work,3rd Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,3rd Floor,,Sand (FM 2.50),APCS,890.67,Cft,52,46314.84,
,Structure Work,3rd Floor,,Sand (FM 1.50),APCS,197.6,Cft,28,5532.8,
,Structure Work,3rd Floor,,Viti Sand,,,,,0,
,Structure Work,3rd Floor,,18mm single stone,,,,,0,
,Structure Work,3rd Floor,,18mm crushed stone,APCS,"2,152.68",Cft,190,409009.2,
,Structure Work,3rd Floor,,12mm crushed stone,,,,,0,
,Structure Work,3rd Floor,,18mm Brick Chips,,,,,0,
,Structure Work,3rd Floor,,1st class Brick,,,,,0,
,Structure Work,3rd Floor,,2nd class Brick,,,,,0,
,Structure Work,3rd Floor,,Picket Brick,,,,,0,
,Structure Work,3rd Floor,,Chemical (ConLub),Baral,137.14,Litre,145,19885.3,
,Structure Work,3rd Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,3rd Floor,,Contrator Bill,206@50%,"3,264.27",Sft,103,336219.81,
,Structure Work,3rd Floor,,Form Work,,,,,0,
,Structure Work,4th Floor,,08mm Rod,,,,,0,
,Structure Work,4th Floor,,10mm Rod,GPH,"5,237.28",Kg,70,366609.6,
,Structure Work,4th Floor,,12mm Rod,GPH,"1,307.58",Kg,70,91530.6,
,Structure Work,4th Floor,,16mm Rod,GPH,864.39,Kg,70,60507.3,
,Structure Work,4th Floor,,20mm Rod,GPH,"3,646.63",Kg,70,255264.1,
,Structure Work,4th Floor,,22mm Rod,,,,,0,
,Structure Work,4th Floor,,25mm Rod,GPH,125.74,Kg,70,8801.8,
,Structure Work,4th Floor,,Cement (OPC/ CEM I),Fresh,568.19,Bag,425,241480.75,
,Structure Work,4th Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,4th Floor,,Sand (FM 2.50),APCS,890.78,Cft,52,46320.56,
,Structure Work,4th Floor,,Sand (FM 1.50),APCS,197.65,Cft,28,5534.2,
,Structure Work,4th Floor,,Viti Sand,,,,,0,
,Structure Work,4th Floor,,18mm single stone,,,,,0,
,Structure Work,4th Floor,,18mm crushed stone,APCS,"2,153.00",Cft,190,409070,
,Structure Work,4th Floor,,12mm crushed stone,,,,,0,
,Structure Work,4th Floor,,18mm Brick Chips,,,,,0,
,Structure Work,4th Floor,,1st class Brick,,,,,0,
,Structure Work,4th Floor,,2nd class Brick,,,,,0,
,Structure Work,4th Floor,,Picket Brick,,,,,0,
,Structure Work,4th Floor,,Chemical (ConLub),Baral,137.16,Litre,145,19888.2,
,Structure Work,4th Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,4th Floor,,Contrator Bill,213@50%,"3,270.63",Sft,106.5,348322.095,
,Structure Work,4th Floor,,Form Work,,,,,0,
,Structure Work,5th Floor,,08mm Rod,,,,,0,
,Structure Work,5th Floor,,10mm Rod,GPH,"5,359.08",Kg,70,375135.6,
,Structure Work,5th Floor,,12mm Rod,GPH,"1,311.98",Kg,70,91838.6,
,Structure Work,5th Floor,,16mm Rod,GPH,864.39,Kg,70,60507.3,
,Structure Work,5th Floor,,20mm Rod,GPH,"3,646.63",Kg,70,255264.1,
,Structure Work,5th Floor,,22mm Rod,,,,,0,
,Structure Work,5th Floor,,25mm Rod,GPH,125.74,Kg,70,8801.8,
,Structure Work,5th Floor,,Cement (OPC/ CEM I),Fresh,583.48,Bag,425,247979,
,Structure Work,5th Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,5th Floor,,Sand (FM 2.50),APCS,910.27,Cft,52,47334.04,
,Structure Work,5th Floor,,Sand (FM 1.50),APCS,207.4,Cft,28,5807.2,
,Structure Work,5th Floor,,Viti Sand,,,,,0,
,Structure Work,5th Floor,,18mm single stone,,,,,0,
,Structure Work,5th Floor,,18mm crushed stone,APCS,"2,211.48",Cft,190,420181.2,
,Structure Work,5th Floor,,12mm crushed stone,,,,,0,
,Structure Work,5th Floor,,18mm Brick Chips,,,,,0,
,Structure Work,5th Floor,,1st class Brick,,,,,0,
,Structure Work,5th Floor,,2nd class Brick,,,,,0,
,Structure Work,5th Floor,,Picket Brick,,,,,0,
,Structure Work,5th Floor,,Chemical (ConLub),Baral,140.98,Litre,145,20442.1,
,Structure Work,5th Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,5th Floor,,Contrator Bill,220@50%,"3,322.02",Sft,110,365422.2,
,Structure Work,5th Floor,,Form Work,,,,,0,
,Structure Work,6th Floor,,08mm Rod,,,,,0,
,Structure Work,6th Floor,,10mm Rod,GPH,"5,216.30",Kg,70,365141,
,Structure Work,6th Floor,,12mm Rod,GPH,"1,311.98",Kg,70,91838.6,
,Structure Work,6th Floor,,16mm Rod,GPH,"1,315.75",Kg,70,92102.5,
,Structure Work,6th Floor,,20mm Rod,GPH,"2,941.37",Kg,70,205895.9,
,Structure Work,6th Floor,,22mm Rod,,,,,0,
,Structure Work,6th Floor,,25mm Rod,,,,70,0,
,Structure Work,6th Floor,,Cement (OPC/ CEM I),Fresh,565.6,Bag,425,240380,
,Structure Work,6th Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,6th Floor,,Sand (FM 2.50),APCS,887.48,Cft,52,46148.96,
,Structure Work,6th Floor,,Sand (FM 1.50),APCS,196,Cft,28,5488,
,Structure Work,6th Floor,,Viti Sand,,,,,0,
,Structure Work,6th Floor,,18mm single stone,,,,,0,
,Structure Work,6th Floor,,18mm crushed stone,APCS,"1,742.59",Cft,190,331092.1,
,Structure Work,6th Floor,,12mm crushed stone,,,,,0,
,Structure Work,6th Floor,,18mm Brick Chips,,,,,0,
,Structure Work,6th Floor,,1st class Brick,,,,,0,
,Structure Work,6th Floor,,2nd class Brick,,,,,0,
,Structure Work,6th Floor,,Picket Brick,,,,,0,
,Structure Work,6th Floor,,Chemical (ConLub),Baral,136.51,Litre,145,19793.95,
,Structure Work,6th Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,6th Floor,,Contrator Bill,227@50%,"3,231.90",Sft,113.5,366820.65,
,Structure Work,6th Floor,,Form Work,,,,,0,
,Structure Work,7th Floor,,08mm Rod,,,,,0,
,Structure Work,7th Floor,,10mm Rod,GPH,"5,376.13",Kg,70,376329.1,
,Structure Work,7th Floor,,12mm Rod,GPH,"1,311.98",Kg,70,91838.6,
,Structure Work,7th Floor,,16mm Rod,GPH,"1,315.75",Kg,70,92102.5,
,Structure Work,7th Floor,,20mm Rod,GPH,"2,941.37",Kg,70,205895.9,
,Structure Work,7th Floor,,22mm Rod,,,,,0,
,Structure Work,7th Floor,,25mm Rod,,,,70,0,
,Structure Work,7th Floor,,Cement (OPC/ CEM I),Fresh,"1,213.48",Bag,425,515729,
,Structure Work,7th Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,7th Floor,,Sand (FM 2.50),APCS,910.27,Cft,52,47334.04,
,Structure Work,7th Floor,,Sand (FM 1.50),APCS,207.4,Cft,28,5807.2,
,Structure Work,7th Floor,,Viti Sand,,,,,0,
,Structure Work,7th Floor,,18mm single stone,,,,,0,
,Structure Work,7th Floor,,18mm crushed stone,APCS,"1,811.48",Cft,190,344181.2,
,Structure Work,7th Floor,,12mm crushed stone,,,,,0,
,Structure Work,7th Floor,,18mm Brick Chips,,,,,0,
,Structure Work,7th Floor,,1st class Brick,,,,,0,
,Structure Work,7th Floor,,2nd class Brick,,,,,0,
,Structure Work,7th Floor,,Picket Brick,,,,,0,
,Structure Work,7th Floor,,Chemical (ConLub),Baral,140.98,Litre,145,20442.1,
,Structure Work,7th Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,7th Floor,,Contrator Bill,234@50%,"3,322.02",Sft,117,388676.34,
,Structure Work,7th Floor,,Form Work,,,,,0,
,Structure Work,8th Floor,,08mm Rod,,,,,0,
,Structure Work,8th Floor,,10mm Rod,GPH,"5,376.13",Kg,70,376329.1,
,Structure Work,8th Floor,,12mm Rod,GPH,"1,311.98",Kg,70,91838.6,
,Structure Work,8th Floor,,16mm Rod,GPH,"1,315.75",Kg,70,92102.5,
,Structure Work,8th Floor,,20mm Rod,GPH,"2,941.37",Kg,70,205895.9,
,Structure Work,8th Floor,,22mm Rod,,,,,0,
,Structure Work,8th Floor,,25mm Rod,,,,70,0,
,Structure Work,8th Floor,,Cement (OPC/ CEM I),Fresh,583.48,Bag,425,247979,
,Structure Work,8th Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,8th Floor,,Sand (FM 2.50),APCS,910.27,Cft,52,47334.04,
,Structure Work,8th Floor,,Sand (FM 1.50),APCS,207.4,Cft,28,5807.2,
,Structure Work,8th Floor,,Viti Sand,APCS,,,,0,
,Structure Work,8th Floor,,18mm single stone,,,,,0,
,Structure Work,8th Floor,,18mm crushed stone,APCS,"2,211.48",Cft,190,420181.2,
,Structure Work,8th Floor,,12mm crushed stone,,,,,0,
,Structure Work,8th Floor,,18mm Brick Chips,,,,,0,
,Structure Work,8th Floor,,1st class Brick,,,,,0,
,Structure Work,8th Floor,,2nd class Brick,,,,,0,
,Structure Work,8th Floor,,Picket Brick,,,,,0,
,Structure Work,8th Floor,,Chemical (ConLub),Baral,140.98,Litre,145,20442.1,
,Structure Work,8th Floor,,Daily Labour,,5,Nos,500,2500,
,Structure Work,8th Floor,,Contrator Bill,241@50%,"3,322.49",Sft,120.5,400360.045,
,Structure Work,8th Floor,,Form Work,,,,,0,
,Structure Work,Roof Top,,08mm Rod,,,,,0,
,Structure Work,Roof Top,,10mm Rod,GPH,"1,777.63",Kg,70,124434.1,
,Structure Work,Roof Top,,12mm Rod,GPH,"1,157.07",Kg,70,80994.9,
,Structure Work,Roof Top,,16mm Rod,GPH,"1,046.07",Kg,70,73224.9,
,Structure Work,Roof Top,,20mm Rod,GPH,279.5,Kg,70,19565,
,Structure Work,Roof Top,,22mm Rod,,,,,0,
,Structure Work,Roof Top,,25mm Rod,,,,70,0,
,Structure Work,Roof Top,,Cement (OPC/ CEM I),Fresh,231.89,Bag,425,98553.25,
,Structure Work,Roof Top,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,Roof Top,,Sand (FM 2.50),APCS,355.49,Cft,52,18485.48,
,Structure Work,Roof Top,,Sand (FM 1.50),APCS,87.99,Cft,28,2463.72,
,Structure Work,Roof Top,,Viti Sand,,,,,0,
,Structure Work,Roof Top,,18mm single stone,,,,,0,
,Structure Work,Roof Top,,18mm crushed stone,APCS,886.98,,190,168526.2,
,Structure Work,Roof Top,,12mm crushed stone,,,,,0,
,Structure Work,Roof Top,,18mm Brick Chips,,,,,0,
,Structure Work,Roof Top,,1st class Brick,,,,,0,
,Structure Work,Roof Top,,2nd class Brick,,,,,0,
,Structure Work,Roof Top,,Picket Brick,,,,,0,
,Structure Work,Roof Top,,Chemical (ConLub),Baral,57.98,Litre,145,8407.1,
,Structure Work,Roof Top,,Daily Labour,,5,Nos,500,2500,
,Structure Work,Roof Top,,Contrator Bill,145@50%,"3,322.49",Sft,72.5,240880.525,
,Structure Work,Roof Top,,Form Work,,,,,0,
,Brick Work,Ground Floor,,08mm Rod,,,,,0,
,Brick Work,Ground Floor,,10mm Rod,,268.94,Kg,70,18825.8,
,Brick Work,Ground Floor,,12mm Rod,,,,,0,
,Brick Work,Ground Floor,,Cement (PCC/ CEM II),,77.8,Bag,405,31509,
,Brick Work,Ground Floor,,Sand (FM 1.20),,437.67,Cft,28,12254.76,
,Brick Work,Ground Floor,,18mm crushed stone,,,,,0,
,Brick Work,Ground Floor,,12mm crushed stone,,,,,0,
,Brick Work,Ground Floor,,18mm Brick Chips,,77.72,Cft,95,7383.4,
,Brick Work,Ground Floor,,1st class Brick,,"15,959.00",Nos,9,143631,
,Brick Work,Ground Floor,,Picket Brick,,,,,0,
,Brick Work,Ground Floor,,Chemical,,,,,0,
,Brick Work,Ground Floor,,Daily Labour,,4,Nos,500,2000, 
,Brick Work,Ground Floor,,Contrator Bill,185@20%,"3,291.94",Sft,37,121801.78,
,Brick Work,Ground Floor,,Form Work,,,,,0,
,Brick Work,Ground Floor,,Nonschedule Material,,,,,0,
,Brick Work,Ground Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,1st Floor,,08mm Rod,,,,,0,
,Brick Work,1st Floor,,10mm Rod,,691.42,Kg,70,48399.4,
,Brick Work,1st Floor,,12mm Rod,,,,,0,
,Brick Work,1st Floor,,Cement (PCC/ CEM II),,133.03,Bag,405,53877.15,
,Brick Work,1st Floor,,Sand (FM 1.20),,739.49,Cft,28,20705.72,
,Brick Work,1st Floor,,18mm crushed stone,,,,,0,
,Brick Work,1st Floor,,12mm crushed stone,,,,,0,
,Brick Work,1st Floor,,18mm Brick Chips,,144.74,Cft,95,13750.3,
,Brick Work,1st Floor,,1st class Brick,,"26,024.00",Nos,9,234216,
,Brick Work,1st Floor,,Picket Brick,,,,,0,
,Brick Work,1st Floor,,Chemical,,,,,0,
,Brick Work,1st Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,1st Floor,,Contrator Bill,192@20%,"3,288.57",Sft,38.4,126281.088,
,Brick Work,1st Floor,,Form Work,,,,,0,
,Brick Work,1st Floor,,Nonschedule Material,,,,,0,
,Brick Work,1st Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,2nd Floor,,08mm Rod,,,,,0,
,Brick Work,2nd Floor,,10mm Rod,,691.42,Kg,70,48399.4,
,Brick Work,2nd Floor,,12mm Rod,,,,,0,
,Brick Work,2nd Floor,,Cement (PCC/ CEM II),,138.16,Bag,405,55954.8,
,Brick Work,2nd Floor,,Sand (FM 1.20),,772.24,Cft,28,21622.72,
,Brick Work,2nd Floor,,18mm crushed stone,,,,,0,
,Brick Work,2nd Floor,,12mm crushed stone,,,,,0,
,Brick Work,2nd Floor,,18mm Brick Chips,,144.74,Cft,95,13750.3,
,Brick Work,2nd Floor,,1st class Brick,,"27,426.00",Nos,9,246834,
,Brick Work,2nd Floor,,Picket Brick,,,,,0,
,Brick Work,2nd Floor,,Chemical,,,,,0,
,Brick Work,2nd Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,2nd Floor,,Contrator Bill,199@20%,"3,351.40",Sft,39.8,133385.72,
,Brick Work,2nd Floor,,Form Work,,,,,0,
,Brick Work,2nd Floor,,Nonschedule Material,,,,,0,
,Brick Work,2nd Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,3rd Floor,,08mm Rod,,,,,0,
,Brick Work,3rd Floor,,10mm Rod,,691.42,Kg,70,48399.4,
,Brick Work,3rd Floor,,12mm Rod,,,,,0,
,Brick Work,3rd Floor,,Cement (PCC/ CEM II),,140.36,Bag,405,56845.8,
,Brick Work,3rd Floor,,Sand (FM 1.20),,786.28,Cft,28,22015.84,
,Brick Work,3rd Floor,,18mm crushed stone,,,,,0,
,Brick Work,3rd Floor,,12mm crushed stone,,,,,0,
,Brick Work,3rd Floor,,18mm Brick Chips,,144.74,Cft,95,13750.3,
,Brick Work,3rd Floor,,1st class Brick,,"27,988.00",Nos,9,251892,
,Brick Work,3rd Floor,,Picket Brick,,,,,0,
,Brick Work,3rd Floor,,Chemical,,,,,0,
,Brick Work,3rd Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,3rd Floor,,Contrator Bill,206@20%,"3,264.27",Sft,41.2,134487.924,
,Brick Work,3rd Floor,,Form Work,,,,,0,
,Brick Work,3rd Floor,,Nonschedule Material,,,,,0,
,Brick Work,3rd Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,4th Floor,,08mm Rod,,,,,0,
,Brick Work,4th Floor,,10mm Rod,,691.42,Kg,70,48399.4,
,Brick Work,4th Floor,,12mm Rod,,,,,0,
,Brick Work,4th Floor,,Cement (PCC/ CEM II),,140.36,Bag,405,56845.8,
,Brick Work,4th Floor,,Sand (FM 1.20),,786.28,Cft,28,22015.84,
,Brick Work,4th Floor,,18mm crushed stone,,,,,0,
,Brick Work,4th Floor,,12mm crushed stone,,,,,0,
,Brick Work,4th Floor,,18mm Brick Chips,,144.74,Cft,95,13750.3,
,Brick Work,4th Floor,,1st class Brick,,"27,988.00",Nos,9,251892,
,Brick Work,4th Floor,,Picket Brick,,,,,0,
,Brick Work,4th Floor,,Chemical,,,,,0,
,Brick Work,4th Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,4th Floor,,Contrator Bill,213@20%,"3,270.63",Sft,42.6,139328.838,
,Brick Work,4th Floor,,Form Work,,,,,0,
,Brick Work,4th Floor,,Nonschedule Material,,,,,0,
,Brick Work,4th Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,5th Floor,,08mm Rod,,,,,0,
