Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarks
,Structure Work,Common,,Cement (OPC/ CEM -I),Fresh,"1,831.00",Bag,550,"1,007,050.00",
,Structure Work,Common,,Cement (PCC/ CEM -II),Fresh,193,Bag,530,"102,290.00",
,Structure Work,Common,,Sand (FM 2.50),APCS,"3,244.00",Cft,55,"178,420.00",
,Structure Work,Common,,Sand (FM 1.50),APCS,708,Cft,30,"21,240.00",
,Structure Work,Common,,Viti Sand,APCS,"12,416.00",Cft,15,"186,240.00",
,Structure Work,Common,,18mm crushed stone,APCS,"5,094.00",Cft,235,"1,197,090.00",
,Structure Work,Common,,18mm Brick Chips,APCS,"1,920.00",Cft,140,"268,800.00",
,Structure Work,Common,,1st class Brick,APCS,"19,900.00",Nos,14.5,"288,550.00",
,Structure Work,Common,,2nd class Brick,APCS,"3,834.00",Nos,12,"46,008.00",
,Structure Work,Common,,Chemical (Con-Lub),Baral,331,Litre,145,"47,995.00",
,Structure Work,Common,,RMC (3500 psi),APCS,"16,286.00",Cft,320,"5,211,520.00",
,Structure Work,Common,,Daily Labour,APCS,50,Nos,600,"30,000.00",
,Structure Work,Common,,Earth Remove,APCS,"7,200.00",Cft,4.5,"32,400.00",
,Structure Work,Common,,Contrator Bill (Up to PL),APW,"3,600.00",Sft,200,"720,000.00",
,Structure Work,Common,,Contrator Bill (GF Roof-Reguler),APW,"2,502.65",Sft,110,"275,291.50",55% @ 200/-
,Structure Work,Common,,Contrator Bill (GF Roof-Beam Bottom),APW,340.5,Sft,100,"34,050.00",
,Structure Work,Common,,Contrator Bill (1st Floor Roof-Reguler),APW,"2,502.65",Sft,113.85,"284,926.70",55% @ 207/-
,Structure Work,Common,,Contrator Bill (2nd Floor Roof-Reguler),APW,"2,475.96",Sft,117.7,"291,420.49",55% @ 214/-
,Structure Work,Common,,Contrator Bill (2nd Floor Roof-Beam Bottom),APW,58.79,Sft,107,"6,290.53",
,Structure Work,Common,,Contrator Bill (3rd Floor Roof-Reguler),APW,"2,500.32",Sft,121.55,"303,913.90",55% @ 221/-
,Structure Work,Common,,Contrator Bill (3rd Floor Roof-Beam Bottom),APW,44.61,Sft,110.5,"4,929.41",
,Structure Work,Common,,Contrator Bill (4th Floor Roof-Reguler),APW,"2,500.32",Sft,125.4,"313,540.13",55% @ 228/-
,Structure Work,Common,,Contrator Bill (4th Floor Roof-Beam Bottom),APW,44.61,Sft,114,"5,085.54",
,Structure Work,Common,,Contrator Bill (5th Floor Roof-Reguler),APW,"2,500.32",Sft,129.25,"323,166.36",55% @ 235/-
,Structure Work,Common,,Contrator Bill (5th Floor Roof-Beam Bottom),APW,44.61,Sft,117.5,"5,241.68",
,Structure Work,Common,,Contrator Bill (6th Floor Roof-Reguler),APW,"2,500.32",Sft,133.1,"332,792.59",55% @ 242/-
,Structure Work,Common,,Contrator Bill (6th Floor Roof-Beam Bottom),APW,44.61,Sft,121,"5,397.81",
,Structure Work,Common,,Contrator Bill (7th Floor Roof-Reguler),APW,"2,501.67",Sft,136.95,"342,603.71",55% @ 249/-
,Structure Work,Common,,Contrator Bill (Roof Top-Reguler),APW,"2,501.67",Sft,88,"220,146.96",55% @ 160/-
, Bricks work,Common,,10mm Rod,GPH,"3,362.00",Kg,92,"309,304.00",
, Bricks work,Common,,Cement (PCC/ CEM -II),Fresh,650,Bag,530,"344,500.00",
, Bricks work,Common,,Sand (FM 1.20),APCS,"3,820.00",Cft,30,"114,600.00",
, Bricks work,Common,,18mm Brick Chips,APCS,650,Cft,140,"91,000.00",
, Bricks work,Common,,1st class Brick,APCS,"140,245.00",Nos,14.5,"2,033,552.50",
, Bricks work,Common,,Daily Labour,APCS,50,Nos,600,"30,000.00",
, Bricks work,Common,,Contrator Bill (Common),APCS,"2,502.65",Sft,40,"100,106.00",20% @ 200/-
, Bricks work,Common,,Contrator Bill (1st Floor),APCS,"2,502.65",Sft,41.4,"103,609.71",20% @ 207/-
, Bricks work,Common,,Contrator Bill 2nd Floor),APCS,"2,475.96",Sft,42.8,"105,971.09",20% @ 214/-
, Bricks work,Common,,Contrator Bill (3rd Floor),APCS,"2,500.32",Sft,44.2,"110,514.14",20% @ 221/-
, Bricks work,Common,,Contrator Bill (4th Floor),APCS,"2,500.32",Sft,45.6,"114,014.59",20% @ 228/-
, Bricks work,Common,,Contrator Bill (5th Floor),APCS,"2,500.32",Sft,47,"117,515.04",20% @ 235/-
, Bricks work,Common,,Contrator Bill (6th Floor),APCS,"2,500.32",Sft,48.4,"121,015.49",20% @ 242/-
, Bricks work,Common,,Contrator Bill (7th Floor),APCS,"2,501.67",Sft,49.8,"124,583.17",20% @ 249/-
, Bricks work,Common,,Contrator Bill (Roof Top),APCS,"2,501.67",Sft,32,"80,053.44",20% @ 160/-
,Plaster work,Common ,,Cement (PCC/ CEM -II),Fresh,"1,050.00",Bag,530,"556,500.00",
,Plaster work,Common ,,Sand (FM 1.50),APCS,"4,837.00",Cft,30,"145,110.00",
,Plaster work,Common ,,Daily Labour,APCS,25,Nos,600,"15,000.00",
,Plaster work,Common ,,Contrator Bill (Common),APCS,"2,502.65",Sft,50,"125,132.50",25% @ 200/-
,Plaster work,Common ,,Contrator Bill (1st Floor),APCS,"2,502.65",Sft,51.75,"129,512.14",25% @ 207/-
,Plaster work,Common ,,Contrator Bill 2nd Floor),APCS,"2,475.96",Sft,53.5,"132,463.86",25% @ 214/-
,Plaster work,Common ,,Contrator Bill (3rd Floor),APCS,"2,500.32",Sft,55.25,"138,142.68",25% @ 221/-
,Plaster work,Common ,,Contrator Bill (4th Floor),APCS,"2,500.32",Sft,57,"142,518.24",25% @ 228/-
,Plaster work,Common ,,Contrator Bill (5th Floor),APCS,"2,500.32",Sft,58.75,"146,893.80",25% @ 235/-
,Plaster work,Common ,,Contrator Bill (6th Floor),APCS,"2,500.32",Sft,60.5,"151,269.36",25% @ 242/-
,Plaster work,Common ,,Contrator Bill (7th Floor),APCS,"2,501.67",Sft,62.25,"155,728.96",25% @ 249/-
,Plaster work,Common ,,Contrator Bill (Roof Top),APCS,"2,501.67",Sft,40,"100,066.80",25% @ 160/-
,Door Work,Common,,Main Door Frame,Ctg Shegun,8,Pcs ,"11,500.00","92,000.00",
,Door Work,Common,,Main Door Shutter,Ctg Shegun,8,Pcs ,"29,500.00","236,000.00",
,Door Work,Common,,Bed Room Door Frame,Shil Korai,46,Pcs ,"4,800.00","220,800.00",
,Door Work,Common,,Bed Room Door Shutter,Veneer Flash Door,938,Sft,280,"262,640.00",
,Door Work,Common,,Toilet Door Frame,Mehgoni,30,Pcs ,"2,800.00","84,000.00",
,Door Work,Common,,Toilet Door Shutter,Formica Door,510,Sft,300,"153,000.00",
,Door Work,Common,,Cat Door Frame,Mehgoni (1.5X1.5),36,Pcs ,"1,500.00","54,000.00",
,Door Work,Common,,Cat Door Shutter,APCS,288,Sft,200,"57,600.00",
,Door Work,Common,,Pvc Door,APCS,10,Pcs ,"4,000.00","40,000.00",
,Door Work,Common,,Handle lock,APCS,8,Pcs ,"3,000.00","24,000.00",
,Door Work,Common,,Round Lock,APCS,76,Pcs ,700,"53,200.00",
,Door Work,Common,,Door Knoker,APCS,8,Pcs ,250,"2,000.00",
,Door Work,Common,,Hinge ,SS,350,Pcs ,150,"52,500.00",
,Door Work,Common,,6 inch Tower Bolt,SS,84,Pcs ,180,"15,120.00",
,Door Work,Common,,8 inch Tower Bolt,SS,54,Pcs ,200,"10,800.00",
,Door Work,Common,,Door stopper,APCS,54,Pcs ,150,"8,100.00",
,Door Work,Common,,Door Vapper,APCS,32,Pcs ,20,640,
,Door Work,Common,,Clamp,MS,520,Pcs ,25,"13,000.00",
,Door Work,Common,,Chain Hinge,SS,84,Feet,50,"4,200.00",
,Door Work,Common,,Screw,SS,"1,600.00",Pcs ,1,"1,600.00",
,Door Work,Common,,Fixing & fiting Cost,APCS,120,Pcs ,650,"78,000.00",
,MS & SS Work,Common,,Window Grill,APCS,"3,731.36",SFT,150,"559,704.00",
,MS & SS Work,Common,,Varenda Railing ,APCS,"1,217.53",SFT,810,"986,199.30",
,MS & SS Work,Common,,Stair Railing,APCS,511.92,SFT,650,"332,748.00",
,MS & SS Work,Common,,Main Gate & Front Side Grill,APCS,289.89,SFT,850,"246,406.50",
,MS & SS Work,Common,,MS Gate,APCS,49.5,SFT,550,"27,225.00",
,MS & SS Work,Common,,Safety Grill,APCS,890,SFT,170,"151,300.00",
,MS & SS Work,Common,,Tin for safety Grill,APCS,890,SFT,160,"142,400.00",
,MS & SS Work,Common,,CNC Cutting ,APCS,556,SFT,750,"417,000.00",
,MS & SS Work,Common,,MS I Section ,APCS,1,Job,"280,000.00","280,000.00",
,MS & SS Work,Common,,Ceiling works,APCS,250,Sft,420,"105,000.00",
,Tiles work,Common,,Wall Tiles (200X300),RAK,1173,Sft,45,"52,785.00",
,Tiles work,Common,,Wall Tiles (300X600),RAK,9622,Sft,100,"962,200.00",
,Tiles work,Common,,Floor Tiles (300X300),RAK,3520,Sft,90,"316,800.00",
,Tiles work,Common,,Main Floor Tiles (600X600),RAK,13628,Sft,150,"2,044,200.00",
,Tiles work,Common,,Stair Tiles (262X300),RAK,546,Sft,90,"49,140.00",
,Tiles work,Common,,Stair Tiles (300X300),RAK,672,Sft,90,"60,480.00",
,Tiles work,Common,,Stair Tiles (600X600),RAK,1105,Sft,90,"99,450.00",
,Tiles work,Common,,Pavment Tiles (300X300),APCS,4636,Sft,30,"139,080.00",
,Tiles work,Common,,Marble Work,,,,,,
,Tiles work,Common,,Kitchen Slab (Granite),APCS,235.86,Sft,800,"188,688.00",
,Tiles work,Common,,Basin Slab (Marble),APCS,105.34,Sft,700,"73,738.00",
,Tiles work,Common,,Tiles Fixing Cost:,,,,,,
,Tiles work,Common,,Wall Tiles (200X300),APCS,1173,Sft,20,"23,460.00",
,Tiles work,Common,,Wall Tiles (300X600),APCS,9622,Sft,20,"192,440.00",
,Tiles work,Common,,Floor Tiles (300X300),APCS,3520,Sft,20,"70,400.00",
,Tiles work,Common,,Main Floor Tiles (600X600),APCS,13628,Sft,20,"272,560.00",
,Tiles work,Common,,Stair Tiles (262X300),APCS,546,Sft,20,"10,920.00",
,Tiles work,Common,,Stair Tiles (300X300),APCS,672,Sft,20,"13,440.00",
,Tiles work,Common,,Stair Tiles (600X600),APCS,1105,Sft,20,"22,100.00",
,Tiles work,Common,,Pavment Tiles (300X300),APCS,4636,Sft,20,"92,720.00",
,Tiles work,Common,,Cement,Elephent,1364,Bag,530,"722,920.00",
,Tiles work,Common,,L/Sand,APCS,6256,Cft,20,"125,120.00",
,Tiles work,Common,,Putting (Con Mix),Mirpur Ceramic,141,Kg,60,"8,460.00",
,Tiles work,Common,,Viksol,APCS,141,Lit.,100,"14,100.00",
,Tiles work,Common,,Alamati,APCS,1,Tk.,100,100,
,Tiles work,Common,,Powder Colour,APCS,1,Tk.,100,100,
,Tiles work,Common,,Markin Kapor,APCS,165,Goj.,15,"2,475.00",
,Tiles work,Common,,120 No. Paper,APCS,120,Pcs,25,"3,000.00",
,Electric Work,Common,,1.25 '' Pvc Pipe,APCS,450,Rft,7,"3,150.00",
,Electric Work,Common,,"1.25"" Pvc  Socket",APCS,42,Pcs,5,210,
,Electric Work,Common,,1.00 ''  Pvc Pipe,APCS,"4,500.00",Rft,5,"22,500.00",
,Electric Work,Common,,"1.00""  Pvc Socket",APCS,540,Pcs,3,"1,620.00",
,Electric Work,Common,,"1.00""  Pvc Bend",APCS,630,Pcs,6,"3,780.00",
,Electric Work,Common,,0.75 ''  Pvc Pipe,APCS,"4,900.00",Rft,4,"19,600.00",
,Electric Work,Common,,"0.75"" Pvc  Socket",APCS,560,Pcs,4,"2,240.00",
,Electric Work,Common,,"0.75""  Pvc Bend",APCS,760,Pcs,3,"2,280.00",
,Electric Work,Common,,0.75''  Pvc Circular box,APCS,120,Pcs,7,840,
,Electric Work,Common,,Fan box,APCS,95,Pcs,55,"5,225.00",
,Electric Work,Common,,Tisa Tape,APCS,60,Pcs,20,"1,200.00",
,Electric Work,Common,,GI Wire (16 No.),APCS,50,Kg,120,"6,000.00",
,Electric Work,Common,,24 No. Wire,APCS,28,Kg,120,"3,360.00",
,Electric Work,Common,,Solvent Cement (200 ml),APCS,36,Pcs,320,"11,520.00",
,Electric Work,Common,,Paper,APCS,60,Kg,30,"1,800.00",
,Electric Work,Common,,"1.25"" Pvc  pipe ",APCS,500,Rft,6,"3,000.00",
,Electric Work,Common,,1.25  Pvc Socket,APCS,48,Pcs,5,240,
,Electric Work,Common,,1.00 ''  Pvc Pipe,APCS,"2,800.00",Rft,5,"14,000.00",
,Electric Work,Common,,"1.00"" Pvc  Socket",APCS,210,Pcs,3,630,
,Electric Work,Common,,"1.00""  Pvc Bend",APCS,240,Pcs,4,960,
,Electric Work,Common,,0.75 '' Pvc  Pipe,APCS,"2,400.00",Rft,4,"9,600.00",
,Electric Work,Common,,"0.75"" Pvc  Socket",APCS,210,Pcs,3,630,
,Electric Work,Common,,"0.75""  Pvc Bend",APCS,800,Pcs,3,"2,400.00",
,Electric Work,Common,,1 gang Mk board,APCS,112,Pcs,28,"3,136.00",
,Electric Work,Common,,2 gang MK board,APCS,210,Pcs,50,"10,500.00",
,Electric Work,Common,,3 gang MK Board,APCS,130,Pcs,70,"9,100.00",
,Electric Work,Common,,4 gang MK Board,APCS,90,Pcs,10,900,
,Electric Work,Common,,0.75'' Circular Box,APCS,110,Pcs,80,"8,800.00",
,Electric Work,Common,,"Joint Box (5"" X 4"")",APCS,,Pcs,200,,
,Electric Work,Common,,"Joint Box (12"" X 6"")",APCS,,Pcs,200,,
,Electric Work,Common,,"Joint Box (14"" X 6"")",APCS,,Pcs,200,,
,Electric Work,Common,,"Joint Box (10"" X 6"")",APCS,,Pcs,200,,
,Electric Work,Common,,"S.D.B Box (18""X24"")",APCS,8,Pcs,"5,500.00","44,000.00",
,Electric Work,Common,,"Dish Box (8""X12"")",APCS,4,Pcs,"2,500.00","10,000.00",
,Electric Work,Common,,M.D.B Box,APCS,1,Pcs,"35,000.00","35,000.00",
,Electric Work,Common,,1x1.5   RM -7W,Red,42,Coil,"2,532.00","106,344.00",
,Electric Work,Common,,1X1.5   RM-7W,Black,42,Coil,"2,532.00","106,344.00",
,Electric Work,Common,,1X1.5   RM-7W,Yello,14,Coil,"2,532.00","35,448.00",
,Electric Work,Common,,1X1.5   RE-1W,Green,,Coil,,,
,Electric Work,Common,,1X1.0   RE-1W,Green,22,Coil,"1,687.00","37,114.00",
,Electric Work,Common,,1X2.5   RM-7W,Red,30,Coil,"4,040.00","121,200.00",
,Electric Work,Common,,1X2.5   RM-7W,Black,30,Coil,"4,040.00","121,200.00",
,Electric Work,Common,,1x4.0   RM-7W,Red,18,Coil,"6,290.00","113,220.00",
,Electric Work,Common,,1x4.0   RM-7W,Black,18,Coil,"6,290.00","113,220.00",
,Electric Work,Common,,1x10.0    RM-7W,Red,4,Coil,"15,453.00","61,812.00",
,Electric Work,Common,,1x 10.0   RM-7W,Black,4,Coil,"15,453.00","61,812.00",
,Electric Work,Common,,23/76 Flexiable Cable,White,120,Feet,50,"6,000.00",
,Electric Work,Common,,25 RM Cable,,100,Metre,360,"36,000.00",
,Electric Work,Common,,35 RM Cable,,,Metre,,,
,Electric Work,Common,,RG-6,Diss,14,Coil,"5,798.00","81,172.00",
,Electric Work,Common,,CAT-6 (300 Metre),Inter- Net  ,2,Coil,"15,071.00","30,142.00",
,Electric Work,Common,,TC- Four-Pair,Telephone,14,Coil,"5,944.00","83,216.00",
,Electric Work,Common,,Tisa Tape,,66,Pcs,20,"1,320.00",
,Electric Work,Common,,0.5''  PvcPipe,APCS,"2,600.00",Rft,2.5,"6,500.00",
,Electric Work,Common,,"0.5""  PvcSocket",APCS,320,Pcs,2,640,
,Electric Work,Common,,"0.5""  PvcBend",APCS,320,Pcs,2,640,
,Electric Work,Common,,.05'' Flexible pipe,APCS,200,Rft,10,"2,000.00",
,Electric Work,Common,,.75'' Flexible Pipe,APCS,200,Rft,12,"2,400.00",
,Electric Work,Common,,1.5'' Flexible Pipe,APCS,200,Rft,15,"3,000.00",
,Electric Work,Common,,GI Wire (16 No.),APCS,10,Kg,100,"1,000.00",
,Electric Work,Common,,Tisa Tape,APCS,36,Pcs,20,720,
,Electric Work,Common,,1 Gang Switch,,66,Pcs,150,"9,900.00",
,Electric Work,Common,,2 Gang Switch,,54,Pcs,220,"11,880.00",
,Electric Work,Common,,3 Gang Switch,,148,Pcs,280,"41,440.00",
,Electric Work,Common,,4 Gang Switch,,50,Pcs,300,"15,000.00",
,Electric Work,Common,,2-Pin (10 Amp),,200,Pcs,300,"60,000.00",
,Electric Work,Common,,3-Pin (13 Amp),,132,Pcs,300,"39,600.00",
,Electric Work,Common,,3-Pin (15 Amp),,74,Pcs,300,"22,200.00",
,Electric Work,Common,,False Cover,,20,Pcs,40,800,
,Electric Work,Common,,Dish Socket,,26,Pcs,220,"5,720.00",
,Electric Work,Common,,Telephone Socket,,28,Pcs,210,"5,880.00",
,Electric Work,Common,,Internet Socket,,26,Pcs,295,"7,670.00",
,Electric Work,Common,,D.P Switch,,26,Pcs,850,"22,100.00",
,Electric Work,Common,,Bell Push ,,9,Pcs,220,"1,980.00",
,Electric Work,Common,,Fan Dimmer,,95,Pcs,220,"20,900.00",
,Electric Work,Common,,Ceiling Rose,,72,Pcs,60,"4,320.00",
,Electric Work,Common,,10 - Amp C. B. (S P),,86,Pcs,280,"24,080.00",
,Electric Work,Common,,16 - Amp C. B. (S P),,102,Pcs,280,"28,560.00",
,Electric Work,Common,,20 - Amp C. B. (S P),,122,Pcs,280,"34,160.00",
,Electric Work,Common,,63 - Amp C. B. (D P),,2,Pcs,"1,850.00","3,700.00",
,Electric Work,Common,,63 - Amp C. B. (T P),,20,Pcs,"1,850.00","37,000.00",
,Electric Work,Common,,100 Amp C. B. (MCCB),,1,Pcs,"5,800.00","5,800.00",
,Electric Work,Common,,"Abonite (7"" Round)",,95,Pcs,35,"3,325.00",
,Electric Work,Common,,Abonite (5''X7''),,8,Pcs,30,240,
,Electric Work,Common,,Abonite (8''X16''),,8,Pcs,60,480,
,Electric Work,Common,,Abonite (8''X14''),,8,Pcs,60,480,
,Electric Work,Common,,Abonite (8''X12''),,8,Pcs,50,400,
,Electric Work,Common,,Star Screw ,,750,Pcs,1,750,
,Electric Work,Common,,MK Screw,,750,Pcs,1,750,
,Electric Work,Common,,Coin Washer,,360,Pcs,1,360,
,Electric Work,Common,,Royal Plag (10 No.) Big Size,,10,Packet,25,250,
,Electric Work,Common,,10 No. Royel Bollt,,26,Pcs,30,780,
,Electric Work,Common,,Machine Screw,,350,Pcs,1,350,
,Electric Work,Common,,10 RM Cable Lux,,250,Pcs,10,"2,500.00",
,Electric Work,Common,,25 RM Cable Lux,,20,Pcs,20,400,
,Electric Work,Common,,35 RM Cable Lux,,,Pcs,25,,
,Electric Work,Common,,200 MM Cable Tie,,10,Packet,100,"1,000.00",
,Electric Work,Common,,"Exhuast Fan (10"" Square)",,52,Pcs,800,"41,600.00",
,Electric Work,Common,,"Exhuast Fan (6"" Round)",,52,Pcs,600,"31,200.00",
,Electric Work,Common,,Tisa Tep,,66,Pcs,20,"1,320.00",
,Electric Work,Common,,After Slab Casting,APA,"20,824.86",Sft,3.75,"78,093.23",25% @ 15/-
,Electric Work,Common,,After Group Cutting,APA,"20,824.86",Sft,3.75,"78,093.23",25% @ 15/-
,Electric Work,Common,,After Cable Wiring,APA,"20,824.86",Sft,3,"62,474.58",20% @ 15/-
,Electric Work,Common,,After Fixing of FinishingMaterial,APA,"20,824.86",Sft,3,"62,474.58",20% @ 15/-
,Electric Work,Common,,Security Money ,,"20,824.86",Sft,1.5,"31,237.29",10% @ 15/-
,Thai & Glass Work,Common,,75mm Section Thai with 5mm Glass,,499.31,SFT,380,"189,737.80",
,Thai & Glass Work,Common,,100mm Section Thai with 5mm Glass & net,,4544.54,SFT,460,"2,090,488.40",
,Thai & Glass Work,Common,,100mm Section Thai with 5mm Glass & net with lover (Bathroom),,153.84,SFT,620,"95,380.80",
,Thai & Glass Work,Common,,10mm Temperd Glass with Frame,APCS,165.26,SFT,650,"107,419.00",
,Sanitary Work,Common,,".75"" PPR Pipe",APCS,"3,200.00",Feet,25,"80,000.00",
,Sanitary Work,Common,,".75"" PPr Plain Tee",APCS,340,Pcs,15,"5,100.00",
,Sanitary Work,Common,,".75"" PPR Plain Elbow",APCS,750,Pcs,14,"10,500.00",
,Sanitary Work,Common,,".75"" PPR Socket",APCS,50,Pcs,11,550,
,Sanitary Work,Common,,".75"" PPR Cap",APCS,10,Pcs,13,130,
,Sanitary Work,Common,,".75"" PPR Bone Plug",APCS,420,Pcs,9,"3,780.00",
,Sanitary Work,Common,,".75"" PPR Ball Valbe",APCS,45,Pcs,250,"11,250.00",
,Sanitary Work,Common,,".5"" x .75"" PPR Female Tee",APCS,260,Pcs,155,"40,300.00",
,Sanitary Work,Common,,".5"" x .75"" PPR Female Elbow",APCS,420,Pcs,95,"39,900.00",
,Sanitary Work,Common,,".5"" x .75"" PPR Female Socket",APCS,20,Pcs,110,"2,200.00",
,Sanitary Work,Common,,".5"" x .75"" PPR Male Socket",APCS,200,Pcs,110,"22,000.00",
,Sanitary Work,Common,,".5"" Shower Mixture",APCS,33,Pcs,"5,890.00","194,370.00",
,Sanitary Work,Common,,".5"" Consil Stop Cock",APCS,9,Pcs,"1,050.00","9,450.00",
,Sanitary Work,Common,,Ceramic Pan,APCS,9, Pcs ,"1,200.00","10,800.00",
,Sanitary Work,Common,,Thread Tape,APCS,100,Pcs,15,"1,500.00",
,Sanitary Work,Common,,"1"" PPR Pipe",APCS,360,Feet,36,"12,960.00",
,Sanitary Work,Common,,"1"" PPR Elbow",APCS,12,Pcs,20,240,
,Sanitary Work,Common,,"1"" PPR Cap ",APCS,10,Pcs,18,180,
,Sanitary Work,Common,,"1"" Clump",APCS,50,Pcs,15,750,
,Sanitary Work,Common,,"1"" PPR Male Socket",APCS,8,Pcs,180,"1,440.00",
,Sanitary Work,Common,,"1"" PPR Plen Socket",APCS,24,Pcs,16,384,
,Sanitary Work,Common,,"1.5"" PPR Pipe",APCS,660,Feet,75,"49,500.00",
,Sanitary Work,Common,,"1.5"" PPR Elbow",APCS,46,Pcs,20,920,
,Sanitary Work,Common,,"1.5"" PPR Plen Socket",APCS,18,Pcs,37,666,
,Sanitary Work,Common,,"1.5 "" Clump",APCS,120,Pcs,15,"1,800.00",
,Sanitary Work,Common,,"1.5"" PPR Ball valve",APCS,6,Pcs,530,"3,180.00",
,Sanitary Work,Common,,"1.5""x.75"" PPR Tee",APCS,60,Pcs,65,"3,900.00",
,Sanitary Work,Common,,"1.5""x.75"" PPR R Socket",APCS,6,Pcs,38,228,
,Sanitary Work,Common,,"1.5""x.75"" PPR Elbow",APCS,8,Pcs,115,920,
,Sanitary Work,Common,,"1.5""x1"" PPR R Socket",APCS,8,Pcs,48,384,
,Sanitary Work,Common,,"2"" PPR Pipe",APCS,200,Feet,115,"23,000.00",
,Sanitary Work,Common,,"2"" PPR Elbow",APCS,8,Pcs,120,960,
,Sanitary Work,Common,,"2"" PPR Socket ",APCS,10,Pcs,52,520,
,Sanitary Work,Common,,"2"" PPR Ball Valve",APCS,2,Pcs,"1,070.00","2,140.00",
,Sanitary Work,Common,,"2"" PPR  Male Socket",APCS,4,Pcs,590,"2,360.00",
,Sanitary Work,Common,,"2""x1.5 PPR Elbow",APCS,2,Pcs,225,450,
,Sanitary Work,Common,,"2""x1.5 PPR Tee",APCS,6,Pcs,120,720,
,Sanitary Work,Common,,"24"" Ring Caver ",APCS,6,Pcs,"1,800.00","10,800.00",
,Sanitary Work,Common,,"12"" Ring Caver",APCS,20,Pcs,"1,400.00","28,000.00",
,Sanitary Work,Common,,"6"" Upvc Pipe B Class",APCS,560,Feet,180,"100,800.00",
,Sanitary Work,Common,,"4"" Upvc Pipe B Class",APCS,"2,200.00",Feet,90,"198,000.00",
,Sanitary Work,Common,,"4"" Upvc Offset",APCS,42,Pcs,170,"7,140.00",
,Sanitary Work,Common,,"4"" Upvc Back Door Tee",APCS,112,Pcs,170,"19,040.00",
,Sanitary Work,Common,,"4"" Upvc Plain Tee",APCS,36,Pcs,140,"5,040.00",
,Sanitary Work,Common,,"4"" Upvc Side Door Band",APCS,170,Pcs,130,"22,100.00",
,Sanitary Work,Common,,"4"" Upvc Plain Band",APCS,170,Pcs,90,"15,300.00",
,Sanitary Work,Common,,"4"" Upvc Long Trup",APCS,100,Pcs,230,"23,000.00",
,Sanitary Work,Common,,"4"" Upvc Cowel",APCS,18,Pcs,35,630,
,Sanitary Work,Common,,"4"" Upvc Socket",APCS,6,Pcs,70,420,
,Sanitary Work,Common,,"4"" GI Clump",APCS,220,Pcs,30,"6,600.00",
,Sanitary Work,Common,,"4""x2"" Upvc Y Tee",APCS,54,Pcs,160,"8,640.00",
,Sanitary Work,Common,,"2"" Upvc Pipe B Class",APCS,620,Feet,50,"31,000.00",
,Sanitary Work,Common,,"2"" Upvc Plain Band",APCS,18,Pcs,55,990,
,Sanitary Work,Common,,"2"" Upvc Socket",APCS,6,Pcs,50,300,
,Sanitary Work,Common,,"2"" Upvc Y Tee",APCS,54,Pcs,48,"2,592.00",
,Sanitary Work,Common,,"2"" Upvc Cowel",APCS,8,Pcs,25,200,
,Sanitary Work,Common,,"1.5"" Upvc Pipe B Class",APCS,"2,300.00",Feet,15,"34,500.00",
,Sanitary Work,Common,,"1.5"" Upvc Y Tee",APCS,50,Pcs,50,"2,500.00",
,Sanitary Work,Common,,"1.5"" Upvc Plain Band",APCS,122,Pcs,20,"2,440.00",
