Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarks
,Indirect Common Cost,Common,, Toiletries ,, 1.00 , Job ," 25,000.00 "," 25,000.00 ",
,Indirect Common Cost,Common,, Printing & Stationary ,, 1.00 , Job ," 25,000.00 "," 25,000.00 ",
,Indirect Common Cost,Common,, Milad & Dua ,, 1.00 , Job ," 120,000.00 "," 120,000.00 ",
,Indirect Common Cost,Common,, Hand Over Ceremony  ,, 1.00 , Job ," 120,000.00 "," 120,000.00 ",
,Indirect Common Cost,Common,, Project Face. ,, 1.00 , Job ," 150,000.00 "," 150,000.00 ",
,Indirect Common Cost,Common,, Medical Expense ,, 1.00 , Job ," 25,000.00 "," 25,000.00 ",
,Indirect Common Cost,Common,,Safety Canopy,, 380.00 , Sft , 420.00 ," 159,600.00 ",
,Indirect Common Cost,Common,,Safety Net,, 1.00 , Job ," 180,000.00 "," 180,000.00 ",
,Indirect Common Cost,Common,,Lettering & Key Box,, 1.00 , Job ," 80,000.00 "," 80,000.00 ",
,Paint Work,Common,,Water sealer (inside),Berger- 18.0 Ltr,40,Drum," 3,050.00 "," 122,000.00 ",
,Paint Work,Common,,Enamel Paint (inside),Berger- 3.64 Ltr,30,Gallon," 1,650.00 "," 49,500.00 ",
,Paint Work,Common,,Chalk powder (inside),Berger- 25 Kg,22,Bag, 650.00 ," 14,300.00 ",
,Paint Work,Common,,Wall Putty (inside),Berger- 18.20 Ltr,66,Drum," 1,690.00 "," 111,540.00 ",
,Paint Work,Common,,Thiner (T - 6) (inside),Berger- 4 ltr,8,Gallon, 850.00 ," 6,800.00 ",
,Paint Work,Common,,Plastic Paint (inside),Berger- 18.20 Ltr,88,Drum," 5,690.00 "," 500,720.00 ",
,Paint Work,Common,,Spirit (Vernish),4.5 Ltr,110,Litre, 300.00 ," 33,000.00 ",
,Paint Work,Common,,Gala (Vernish),1000 grm,25,Kg," 2,080.00 "," 52,000.00 ",
,Paint Work,Common,,MC Thinner (Vernish),,50,Litre, 200.00 ," 10,000.00 ",
,Paint Work,Common,,Carpa (Vernish),,8,Kg, 620.00 ," 4,960.00 ",
,Paint Work,Common,,Alamati (Vernish),,1,Tk.," 1,500.00 "," 1,500.00 ",
,Paint Work,Common,,Shidur (Vernish),,1,Tk.," 3,000.00 "," 3,000.00 ",
,Paint Work,Common,,Khola Colour (Brown) (Vernish),,1,Tk.," 1,500.00 "," 1,500.00 ",
,Paint Work,Common,,Mom (Vernish),,8,Kg, 500.00 ," 4,000.00 ",
,Paint Work,Common,,Fresh Powder (Vernish),,15,Kg, 10.00 , 150.00 ,
,Paint Work,Common,,Chalk Powder (Vernish),,15,Kg, 25.00 , 375.00 ,
,Paint Work,Common,,Maskin Tep (Vernish),,30,Pcs, 50.00 ," 1,500.00 ",
,Paint Work,Common,,Outside Paint Work,," 22,500.00 ",Sft,,,
,Paint Work,Common ,,Water Sealer (Outside),Berger- 18.0 Ltr,14,Drum," 3,675.00 "," 51,450.00 ",
,Paint Work,Common ,,Wall Putty (Outside),Berger- 18.20 Ltr,10,Drum," 1,820.00 "," 18,200.00 ",
,Paint Work,Common ,,Chalk Powder (Outside),,3,Kg, 650.00 ," 1,950.00 ",
,Paint Work,Common ,,Weather Coat (Outside),Berger- 18.20 Ltr,20,Drum," 6,750.00 "," 135,000.00 ",
,Paint Work,Common ,,Plastic Paint (Inside Floor),,7.00,Job,42000,"294,000.00",
,Paint Work,Common ,,All of GF Paint Work,,1.00,Job,40000,"40,000.00",
,Paint Work,Common ,,Stair Case All Paint Work,,1.00,Job,40000,"40,000.00",
,Paint Work,Common ,,Enamail Paint,,1.00,Job,65000,"65,000.00",
,Paint Work,Common ,,Weather Coat (Outside),,1.00,Job,80000,"80,000.00",
,Paint Work,Common ,,Polish Work,,1.00,Job,90000,"90,000.00",
,Sanitary Work,Common,,"0.75"" Cpvc Pipe (Internal Pipe Wiring)",," 3,000.00 ",Feet, 34.00 ," 102,000.00 "," 20,000.00 "
,Sanitary Work,Common,,"0.75"" Cpvc Ball Valbe (Internal Pipe Wiring)",, 52.00 ,Pcs, 364.00 ," 18,928.00 ",
,Sanitary Work,Common,,"0.75"" Cpvc Union Socket (Internal Pipe Wiring)",, 52.00 ,Pcs, 116.00 ," 6,032.00 ",
,Sanitary Work,Common,,"0.75"" Cpvc Plen Elbow (Internal Pipe Wiring)",, 900.00 ,Pcs, 17.00 ," 15,300.00 ",
,Sanitary Work,Common,,"0.75"" Cpvc Plen Tee (Internal Pipe Wiring)",, 500.00 ,Pcs, 23.00 ," 11,500.00 ",
,Sanitary Work,Common,,"0.75"" Cpvc Socket (Internal Pipe Wiring)",, 100.00 ,Pcs, 8.00 , 800.00 ,
,Sanitary Work,Common,,"0.75"" Cpvc In Cap (Internal Pipe Wiring)",, 30.00 ,Pcs, 7.00 , 210.00 ,
,Sanitary Work,Common,,"0.5""X0.75"" Cpvc Male Socket (Internal Pipe Wiring)",, 170.00 ,Pcs, 151.00 ," 25,670.00 ",
,Sanitary Work,Common,,"0.5""X0.75"" Cpvc Female Elbow (Internal Pipe Wiring)",, 250.00 ,Pcs, 81.00 ," 20,250.00 ",
,Sanitary Work,Common,,"0.5""X0.75"" Cpvc Female Tee (Internal Pipe Wiring)",, 200.00 ,Pcs, 87.00 ," 17,400.00 ",
,Sanitary Work,Common,,"0.5"" Cpvc Bon Plug (Internal Pipe Wiring)",, 250.00 ,Pcs, 14.00 ," 3,500.00 ",
,Sanitary Work,Common,,"1.5"" Cpvc Pipe (Internal Pipe Wiring)",, 700.00 ,Feet, 107.00 ," 74,900.00 ",
,Sanitary Work,Common,,"1.5"" Cpvc Socket (Internal Pipe Wiring)",, 10.00 ,Pcs, 57.00 , 570.00 ,
,Sanitary Work,Common,,"1.5"" Cpvc Plen Elbow (Internal Pipe Wiring)",, 35.00 ,Pcs, 70.00 ," 2,450.00 ",
,Sanitary Work,Common,,"1.5"" Cpvc In Cap (Internal Pipe Wiring)",, 16.00 , Pcs , 30.00 , 480.00 ,
,Sanitary Work,Common,,"1.5"" Cpvc Ball Valve (Internal Pipe Wiring)",, 14.00 , Pcs ," 1,610.00 "," 22,540.00 ",
,Sanitary Work,Common,,"1.5"" Cpvc Union socket (Internal Pipe Wiring)",, 2.00 , Pcs , 177.00 , 354.00 ,
,Sanitary Work,Common,,"1.5""X0.75 Cpvc Tee (Internal Pipe Wiring)",, 65.00 , Pcs , 100.00 ," 6,500.00 ",
,Sanitary Work,Common,,"1.25"" Cpvc Pipe (Internal Pipe Wiring)",, 100.00 ,Feet, 77.00 ," 7,700.00 ",
,Sanitary Work,Common,,"1.25"" Cpvc Union Socket (Internal Pipe Wiring)",, 2.00 ,Pcs, 142.00 , 284.00 ,
,Sanitary Work,Common,,"2"" Cpvc Pipe (Internal Pipe Wiring)",, 210.00 ,Feet, 180.00 ," 37,800.00 ",
,Sanitary Work,Common,,"2"" Cpvc Union Socket (Internal Pipe Wiring)",, 2.00 ,Pcs, 261.00 , 522.00 ,
,Sanitary Work,Common,,"2"" Cpvc Ball Valbe (Internal Pipe Wiring)",, 2.00 ,Pcs," 2,795.00 "," 5,590.00 ",
,Sanitary Work,Common,,"2"" Cpvc Plen Elbow (Internal Pipe Wiring)",, 10.00 ,Pcs, 166.00 ," 1,660.00 ",
,Sanitary Work,Common,,"1.5""X2"" Cpvc Tee (Internal Pipe Wiring)",, 16.00 ,Pcs, 169.00 ," 2,704.00 ",
,Sanitary Work,Common,,"0.5"" Shower Mixture (Internal Pipe Wiring)",, 32.00 , Pcs ," 5,580.00 "," 178,560.00 ",
,Sanitary Work,Common,,"0.5"" Consil Stop Cock (Internal Pipe Wiring)",, 10.00 , Pcs ," 1,550.00 "," 15,500.00 ",
,Sanitary Work,Common,,Solution (Era) (Internal Pipe Wiring),, 30.00 , Pcs , 350.00 ," 10,500.00 ",
,Sanitary Work,Common,,"1.5"" Flat Bar Clamp (Internal Pipe Wiring)",, 80.00 , Pcs , 25.00 ," 2,000.00 ",
,Sanitary Work,Common,,"1"" Steel Nail (Internal Pipe Wiring)",, 2.00 , Kg , 450.00 , 900.00 ,
,Sanitary Work,Common,,24 no. GI Wire (Internal Pipe Wiring),, 2.00 , Kg , 200.00 , 400.00 ,
,Sanitary Work,Common,,Thread Tap (Internal Pipe Wiring),, 150.00 , Pcs , 16.00 ," 2,400.00 ",
,Sanitary Work,Common,,Water Motor (2 HP) (Internal Pipe Wiring),GAZI, 2.00 , Pcs ," 20,000.00 "," 40,000.00 ",
,Sanitary Work,Common,,"4"" Upvc Pipe B Class (Internal Pipe Wiring)",," 2,000.00 ",Feet, 90.00 ," 180,000.00 ",
,Sanitary Work,Common,,"4"" Upvc Offset (Internal Pipe Wiring)",, 10.00 ,Pcs, 180.00 ," 1,800.00 ",
,Sanitary Work,Common,,"4"" Upvc Back Door Bend (Internal Pipe Wiring)",, 30.00 ,Pcs, 180.00 ," 5,400.00 ",
,Sanitary Work,Common,,"4"" Upvc Plain Tee (Internal Pipe Wiring)",, 100.00 ,Pcs, 175.00 ," 17,500.00 ",
,Sanitary Work,Common,,"4"" Upvc Side Door Band (Internal Pipe Wiring)",, 210.00 ,Pcs, 185.00 ," 38,850.00 ",
,Sanitary Work,Common,,"4"" Upvc Plain Band (Internal Pipe Wiring)",, 250.00 ,Pcs, 117.00 ," 29,250.00 ",
,Sanitary Work,Common,,"4"" Upvc Long Trup (Internal Pipe Wiring)",, 70.00 ,Pcs, 276.00 ," 19,320.00 ",
,Sanitary Work,Common,,"4"" Upvc Cowel (Internal Pipe Wiring)",, 14.00 ,Pcs, 35.00 , 490.00 ,
,Sanitary Work,Common,,"4"" Upvc Socket (Internal Pipe Wiring)",, 20.00 ,Pcs, 70.00 ," 1,400.00 ",
,Sanitary Work,Common,,"2"" Upvc Pipe B Class (Internal Pipe Wiring)",, 220.00 ,Feet, 50.00 ," 11,000.00 ",
,Sanitary Work,Common,,"2"" Upvc Plain Band (Internal Pipe Wiring)",, 20.00 ,Pcs, 31.00 , 620.00 ,
,Sanitary Work,Common,,"2"" Upvc Plen Tee (Internal Pipe Wiring)",, 14.00 ,Pcs, 48.00 , 672.00 ,
,Sanitary Work,Common,,"2"" Upvc Cowel (Internal Pipe Wiring)",, 2.00 ,Pcs, 25.00 , 50.00 ,
,Sanitary Work,Common,,"1.5"" Upvc Pipe B Class (Internal Pipe Wiring)",, 400.00 ,Feet, 15.00 ," 6,000.00 ",
,Sanitary Work,Common,,"1.5"" Upvc Plain Band (Internal Pipe Wiring)",, 90.00 ,Pcs, 20.00 ," 1,800.00 ",
,Sanitary Work,Common,,"1.5"" Upvc Plen Tee (Internal Pipe Wiring)",, 20.00 ,Pcs, 50.00 ," 1,000.00 ",
,Sanitary Work,Common,,"4"" Flat Bar Clamp (Internal Pipe Wiring)",, 60.00 ,Pcs, 35.00 ," 2,100.00 ",
,Sanitary Work,Common,,"1.5"" Flat Bar Clamp (Internal Pipe Wiring)",, 30.00 ,Pcs, 20.00 , 600.00 ,
,Sanitary Work,Common,,Star Screw  (Internal Pipe Wiring),, 500.00 ,Pcs, 1.00 , 500.00 ,
,Sanitary Work,Common,,10 No Royel Plug (Internal Pipe Wiring),, 30.00 ,Packet, 35.00 ," 1,050.00 ",
,Sanitary Work,Common,,Solution (Internal Pipe Wiring),, 50.00 ,Packet, 350.00 ," 17,500.00 ",
,Sanitary Work,Common,,".5"" GI Pipe (Gas  Pipe Wiring (All Floor))",, 620.00 ,Feet, 53.00 ," 32,860.00 ",
,Sanitary Work,Common,,".5"" GI Elbow (Gas  Pipe Wiring (All Floor))",, 60.00 ,Pcs, 35.00 ," 2,100.00 ",
,Sanitary Work,Common,,".5"" GI Plug (Gas  Pipe Wiring (All Floor))",, 15.00 ,Pcs, 28.00 , 420.00 ,
,Sanitary Work,Common,,".5"" GI Socket (Gas  Pipe Wiring (All Floor))",, 50.00 ,Pcs, 29.00 ," 1,450.00 ",
,Sanitary Work,Common,,".5"" GI Nipple (Gas  Pipe Wiring (All Floor))",, 10.00 ,Pcs, 28.00 , 280.00 ,
,Sanitary Work,Common,,".5"" GI Short Pics 5"" Long (Gas  Pipe Wiring (All Floor))",, 20.00 ,Pcs, 40.00 , 800.00 ,
,Sanitary Work,Common,,0.5X0.75 GI Gas Cock (Gas  Pipe Wiring (All Floor)),, 10.00 ,Pcs, 500.00 ," 5,000.00 ",
,Sanitary Work,Common,,"0.5"" GI Bone Plug (Gas  Pipe Wiring (All Floor))",, 10.00 ,Pcs, 30.00 , 300.00 ,
,Sanitary Work,Common,,"1"" Coil Pipe (Gas  Pipe Wiring (All Floor))",, 100.00 ,Feet, 25.00 ," 2,500.00 ",
,Sanitary Work,Common,,"1"" GI Nipple (Gas  Pipe Wiring (All Floor))",, 10.00 ,Pcs, 90.00 , 900.00 ,
,Sanitary Work,Common,,"1"" GI Socket (Gas  Pipe Wiring (All Floor))",, 10.00 ,Pcs, 90.00 , 900.00 ,
,Sanitary Work,Common,,"1"" GI Ball Valve (Gas  Pipe Wiring (All Floor))",, 2.00 ,Pcs," 1,550.00 "," 3,100.00 ",
,Sanitary Work,Common,,"1.25"" GI Ball Cock (Gas  Pipe Wiring (All Floor))",, 1.00 ,Pcs," 2,200.00 "," 2,200.00 ",
,Sanitary Work,Common,,"1.25"" Non-neuter Valve (Gas  Pipe Wiring (All Floor))",, 2.00 ,Pcs," 2,500.00 "," 5,000.00 ",
,Sanitary Work,Common,,"1.5"" GI Short Pics 5"" Long (Gas  Pipe Wiring (All Floor))",, 5.00 ,Pcs, 75.00 , 375.00 ,
,Sanitary Work,Common,,"1.5"" GI Check Valbe (Gas  Pipe Wiring (All Floor))",,,Pcs,, -   ,
,Sanitary Work,Common,,"0.5"" Flat Bar Clamp (Gas  Pipe Wiring (All Floor))",, 60.00 ,Pcs, 90.00 ," 5,400.00 ",
,Sanitary Work,Common,,Thread Tape (Gas  Pipe Wiring (All Floor)),, 20.00 ,Pcs, 20.00 , 400.00 ,
,Sanitary Work,Common,,Commode (Finishing Metarial),, 32.00 , Pcs ," 18,500.00 "," 592,000.00 ",
,Sanitary Work,Common,,Basin (Finishing Metarial),, 43.00 , Pcs ," 8,500.00 "," 365,500.00 ",
,Sanitary Work,Common,,Basin Mixture (Finishing Metarial),, 41.00 , Pcs ," 5,500.00 "," 225,500.00 ",
,Sanitary Work,Common,,Basin Pillar Cock (Finishing Metarial),, 2.00 , Pcs ," 1,500.00 "," 3,000.00 ",
,Sanitary Work,Common,,Sink (Finishing Metarial),, 10.00 , Pcs ," 5,500.00 "," 55,000.00 ",
,Sanitary Work,Common,,Sink Mixture (Finishing Metarial),, 9.00 , Pcs ," 4,800.00 "," 43,200.00 ",
,Sanitary Work,Common,,Sink Pillar Cock (Finishing Metarial),, 1.00 , Pcs ," 1,500.00 "," 1,500.00 ",
,Sanitary Work,Common,,Sink waste (Finishing Metarial),, 10.00 , Pcs , 350.00 ," 3,500.00 ",
,Sanitary Work,Common,,Basin waste (Finishing Metarial),, 43.00 , Pcs , 350.00 ," 15,050.00 ",
,Sanitary Work,Common,,Sink Magic Pipe (Finishing Metarial),, 10.00 , Pcs , 100.00 ," 1,000.00 ",
,Sanitary Work,Common,,Basin Magic Pipe (Finishing Metarial),, 43.00 , Pcs , 100.00 ," 4,300.00 ",
,Sanitary Work,Common,,Bib Cock (Finishing Metarial),, 35.00 , Pcs ," 1,250.00 "," 43,750.00 ",
,Sanitary Work,Common,,Angle Stop Cork (Finishing Metarial),, 205.00 , Pcs , 850.00 ," 174,250.00 ",
,Sanitary Work,Common,,Connection Pipe (Finishing Metarial),, 205.00 , Pcs , 120.00 ," 24,600.00 ",
,Sanitary Work,Common,,Glass self (Finishing Metarial),, 43.00 , Pcs ," 1,850.00 "," 79,550.00 ",
,Sanitary Work,Common,,Mirror (Finishing Metarial),, 43.00 , Pcs ," 2,200.00 "," 94,600.00 ",
,Sanitary Work,Common,,Towel rail (Finishing Metarial),, 42.00 , Pcs ," 1,550.00 "," 65,100.00 ",
,Sanitary Work,Common,,Ring Towel rail (Finishing Metarial),, 10.00 , Pcs ," 1,200.00 "," 12,000.00 ",
,Sanitary Work,Common,,Soap Case (Finishing Metarial),, 42.00 , Pcs ," 1,850.00 "," 77,700.00 ",
,Sanitary Work,Common,,Liquide Soap Case (Finishing Metarial),, 10.00 , Pcs ," 2,210.00 "," 22,100.00 ",
,Sanitary Work,Common,,Push Shower (Finishing Metarial),, 42.00 , Pcs , 750.00 ," 31,500.00 ",
,Sanitary Work,Common,,Paper Holder (Finishing Metarial),, 42.00 , Pcs ," 1,450.00 "," 60,900.00 ",
,Sanitary Work,Common,,Moving Shower (Finishing Metarial),, 42.00 , Pcs ," 1,850.00 "," 77,700.00 ",
,Sanitary Work,Common,,5 Net  (Finishing Metarial),, 90.00 , Pcs ," 1,250.00 "," 112,500.00 ",
,Sanitary Work,Common,,2 Net (Finishing Metarial),, 90.00 , Pcs , 450.00 ," 40,500.00 ",
,Sanitary Work,Common,,10 mm Bush (Finishing Metarial),, 420.00 , Pcs , 50.00 ," 21,000.00 ",
,Sanitary Work,Common,,15 mm Bush (Finishing Metarial),, 420.00 , Pcs , 50.00 ," 21,000.00 ",
,Sanitary Work,Common,,Thread Tape (Finishing Metarial),, 420.00 , Pcs , 20.00 ," 8,400.00 ",
,Sanitary Work,Common,,Korean Putting (Finishing Metarial),, 130.00 , Pcs , 20.00 ," 2,600.00 ",
,Sanitary Work,Common,,White Cement (Finishing Metarial),, 45.00 , Kg , 120.00 ," 5,400.00 ",
,Sanitary Work,Common,,Lowdown (Finishing Metarial),, 4.00 , Pcs ," 1,800.00 "," 7,200.00 ",
,Sanitary Work,Common,,Ceramic Pan (Finishing Metarial),, 4.00 , Pcs ," 1,750.00 "," 7,000.00 ",
,Sanitary Work,Common,,Commode_RAK _ Crala (Finishing Metarial),, 6.00 , Pcs ," 7,500.00 "," 45,000.00 ",
,Sanitary Work,Common,,Contractor Bill (Finishing Metarial),, 1.00 , Job ," 520,000.00 "," 520,000.00 ",
,Electric Work,Common,,1.25 '' Pipe (Slab Casting),,1900,Rft,7,"13,300.00",
,Electric Work,Common,,"1.25"" Socket (Slab Casting)",,140.00,Pcs,6,840.00,
,Electric Work,Common,,1.00 '' Pipe (Slab Casting),,4000,Rft,6,24000,
,Electric Work,Common,,"1.00"" Socket (Slab Casting)",,400,Pcs,6,2400,
,Electric Work,Common,,"1.00"" Bend (Slab Casting)",,400,Pcs,6,"2,400.00",
,Electric Work,Common,,0.75 '' Pipe (Slab Casting),,8000,Rft,5,"40,000.00",
,Electric Work,Common,,"0.75"" Socket (Slab Casting)",,800,Pcs,5,"4,000.00",
,Electric Work,Common,,"0.75"" Bend (Slab Casting)",,1510,Pcs,5,"7,550.00",
,Electric Work,Common,,0.75'' Circular box (Double) (Slab Casting),,200,Pcs,9,1800,
,Electric Work,Common,,Fan box (Slab Casting),,148,Pcs,120,"17,760.00",
,Electric Work,Common,,Tisa Tape (Slab Casting),,50,Pcs,20,"1,000.00",
,Electric Work,Common,,GI Wire (16 No.) (Slab Casting),,80,Kg,150,"12,000.00",
,Electric Work,Common,,24 No. Wire (Slab Casting),,24,Kg,200,"4,800.00",
,Electric Work,Common,,Solvent Cement (200 ml) (Slab Casting),,32,Pcs,350,"11,200.00",
,Electric Work,Common,,Paper (Slab Casting),,48,Kg,40,"1,920.00",
,Electric Work,Common,,1.00 '' Pipe (Group Cutting),,2450,Rft,7,"17,150.00",
,Electric Work,Common,,"1.00"" Socket (Group Cutting)",,400,Pcs,6,"2,400.00",
,Electric Work,Common,,"1.00"" Bend (Group Cutting)",,400,Pcs,6,"2,400.00",
,Electric Work,Common,,0.75 '' Pipe (Group Cutting),,4900,Rft,6,"29,400.00",
,Electric Work,Common,,"0.75"" Socket (Group Cutting)",,780,Pcs,5,"3,900.00",
,Electric Work,Common,,"0.75"" Bend (Group Cutting)",,780,Pcs,5,"3,900.00",
,Electric Work,Common,,1 gang Mk board (Group Cutting),,270,Pcs,30,"8,100.00",
,Electric Work,Common,,2 gang MK board (Group Cutting),,190,Pcs,60,"11,400.00",
,Electric Work,Common,,3 gang MK Board (Group Cutting),,90,Pcs,90,"8,100.00",
,Electric Work,Common,,4 gang MK Board (Group Cutting),,90,Pcs,120,"10,800.00",
,Electric Work,Common,,0.75'' Circular Box (Single) (Group Cutting),,380,Pcs,80.00,"30,400.00",
,Electric Work,Common,,"S.D.B Box (18""X24"") (Group Cutting)",,11,Pcs,"7,500.00","82,500.00",
,Electric Work,Common,,M.D.B Box (Group Cutting),,1,Pcs,"35,000.00","35,000.00",
,Electric Work,Common,,1X1.0   RE-1W (Cable waring),Green,33,Coil,1940,64020,
,Electric Work,Common,,1x1.5   RM -7W (Red) (Cable waring),Red,43,Coil,2900,124700,
,Electric Work,Common,,1X1.5   RM-7W (Black) (Cable waring),Black,43,Coil,2900,124700,
,Electric Work,Common,,1X1.5   RM-7W (Yellow) (Cable waring),Yello,25,Coil,2900,72500,
,Electric Work,Common,,1X1.5   RE-1W (Cable waring),Green,33,Coil,2900,95700,
,Electric Work,Common,,1.5 NY Cable (Cable waring),Black,1,Coil,5338,5338,
,Electric Work,Common,,1X2.5   RM-7W (Red) (Cable waring),Red,33,Coil,4590,151470,
,Electric Work,Common,,1X2.5   RM-7W (Black) (Cable waring),Black,33,Coil,4590,151470,
,Electric Work,Common,,1X2.5   RE-7W (Green) (Cable waring),Green,5,Coil,4590,22950,
,Electric Work,Common,,1x4.0   RM-7W (Red) (Cable waring),Red,24,Coil,7238,"173,712.00",
,Electric Work,Common,,1x4.0   RM-7W (Black) (Cable waring),Black,24,Coil,7238,173712,
,Electric Work,Common,,1x10.0    RM-7W (Red) (Cable waring),Red,6,Coil,17786,106716,
,Electric Work,Common,,1x 10.0   RM-7W (Black) (Cable waring),Black,6,Coil,17786,"106,716.00",
,Electric Work,Common,,23/76 Flexiable Cable (Cable waring),White,150,Feet,60,"9,000.00",
,Electric Work,Common,,16 RM Cable (Cable waring),,120,Metre,285,"34,200.00",
,Electric Work,Common,,25 RM Cable (Cable waring),,45,Metre,381,"17,145.00",
,Electric Work,Common,,35 RM Cable (Cable waring),,35.00,Metre,524,"18,340.00",
,Electric Work,Common,,RG-6 (Cable waring),Dish,15.00,Coil,6290,"94,350.00",
,Electric Work,Common,,CAT-6 (300 Metre)  (Cable waring),Inter- Net  ,1.50,Coil,17505,"26,257.50",
,Electric Work,Common,,TC- Four-Pair (Cable waring),Telephone,15.00,Coil,6921,"103,815.00",
,Electric Work,Common,,Earthing Boaring (Cable waring),APCS,8.00,Nos,20000,"160,000.00",
,Electric Work,Common,,Tisa Tape (Cable waring),,66,Pcs,20,"1,320.00",
,Electric Work,Common,,0.5 '' Pipe (Floor Pipe Waring),,2000,Rft,4,"8,000.00",
,Electric Work,Common,,"0.5"" Socket (Floor Pipe Waring)",,130.00,Pcs,4,520.00,
,Electric Work,Common,,"0.5"" Bend (Floor Pipe Waring)",,190,Pcs,4,760.00,
,Electric Work,Common,,.05'' Flexible pipe (Floor Pipe Waring),,300,Rft,14,"4,200.00",
,Electric Work,Common,,.75'' Flexible Pipe (Floor Pipe Waring),,300,Rft,16,4800,
,Electric Work,Common,,1.5'' Flexible Pipe (Floor Pipe Waring),,200,Rft,20,4000,
,Electric Work,Common,,GI Wire (16 No.) (Floor Pipe Waring),,,Kg,150,0.00,
,Electric Work,Common,,Tisa Tape (Floor Pipe Waring),,24,Pcs,20,480.00,
,Electric Work,Common,,1 Gang Switch (Finishing Work),,60,Pcs,180,"10,800.00",
,Electric Work,Common,,2 Gang Switch (Finishing Work),,50,Pcs,350,"17,500.00",
,Electric Work,Common,,3 Gang Switch (Finishing Work),,100,Pcs,380.00,"38,000.00",
,Electric Work,Common,,4 Gang Switch (Finishing Work),,80,Pcs,420.00,"33,600.00",
,Electric Work,Common,,2-Pin (10 Amp) (Finishing Work),,80,Pcs,350.00,"28,000.00",
,Electric Work,Common,,3-Pin (13 Amp) (Finishing Work),,160,Pcs,450,"72,000.00",
,Electric Work,Common,,3-Pin (15 Amp) (Finishing Work),,90,Pcs,450,"40,500.00",
,Electric Work,Common,,False Cover (Finishing Work),,40,Pcs,40,1600,
,Electric Work,Common,,Dish Socket (Finishing Work),,27,Pcs,300,8100,
,Electric Work,Common,,Telephone Socket (Finishing Work),,19,Pcs,300,5700,
