Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarks
,Structure Work,Ground Floor,,10mm Rod,GPH,"4,506.85",Kg,73.5,"331,253.48",
,Structure Work,Ground Floor,,12mm Rod,GPH,"2,156.39",Kg,73.5,"158,494.67",
,Structure Work,Ground Floor,,16mm Rod,GPH,969.26,Kg,73.5,"71,240.61",
,Structure Work,Ground Floor,,20mm Rod,GPH,"3,500.00",Kg,73.5,"257,250.00",
,Structure Work,Ground Floor,,22mm Rod,,,,,0,
,Structure Work,Ground Floor,,25mm Rod,GPH,504.67,Kg,73.5,"37,093.25",
,Structure Work,Ground Floor,,Cement (OPC/ CEM I),Fresh,502,Bag,425,"213,350.00",
,Structure Work,Ground Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,Ground Floor,,Sand (FM 2.50),APCS,"1,002.31",Cft,55,"55,127.05",
,Structure Work,Ground Floor,,Sand (FM 1.50),APCS,,Cft,28,0,
,Structure Work,Ground Floor,,Viti Sand,,,,,0,
,Structure Work,Ground Floor,,18mm single stone,,,,,0,
,Structure Work,Ground Floor,,18mm crushed stone,APCS,"1,980.00",Cft,195,"386,100.00",
,Structure Work,Ground Floor,,12mm crushed stone,,,,,0,
,Structure Work,Ground Floor,,18mm Brick Chips,,,,,0,
,Structure Work,Ground Floor,,1st class Brick,,,,,0,
,Structure Work,Ground Floor,,2nd class Brick,,,,,0,
,Structure Work,Ground Floor,,Picket Brick,,,,,0,
,Structure Work,Ground Floor,,Chemical (ConLub),Baral,18.45,Litre,145,"2,675.25",
,Structure Work,Ground Floor,,Daily Labour,APA,5,Nos,500,"2,500.00",
,Structure Work,Ground Floor,,Contrator Bill (Reguler),APA,"2,540.00",Sft,185,"469,900.00",55%
,Structure Work,Ground Floor,,Contrator Bill (Boundary Wall),APA,"1,260.00",Sft,70,"88,200.00",50%
,Structure Work,Ground Floor,,Form Work,,,,,0,
,Structure Work,1st Floor,,08mm Rod,,,,,0,
,Structure Work,1st Floor,,10mm Rod,GPH,"4,106.36",Kg,73.5,"301,817.46",
,Structure Work,1st Floor,,12mm Rod,GPH,"1,000.46",Kg,73.5,"73,533.81",
,Structure Work,1st Floor,,16mm Rod,GPH,748.19,Kg,73.5,"54,991.97",
,Structure Work,1st Floor,,20mm Rod,GPH,"3,500.00",Kg,73.5,"257,250.00",
,Structure Work,1st Floor,,22mm Rod,,,,,0,
,Structure Work,1st Floor,,25mm Rod,GPH,504.67,Kg,73.5,"37,093.25",
,Structure Work,1st Floor,,Cement (OPC/ CEM I),Fresh,380,Bag,425,"161,500.00",
,Structure Work,1st Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,1st Floor,,Sand (FM 2.50),APCS,754.19,Cft,55,"41,480.45",
,Structure Work,1st Floor,,Sand (FM 1.50),APCS,,Cft,28,0,
,Structure Work,1st Floor,,Viti Sand,,,,,0,
,Structure Work,1st Floor,,18mm single stone,,,,,0,
,Structure Work,1st Floor,,18mm crushed stone,APCS,"1,500.00",Cft,195,"292,500.00",
,Structure Work,1st Floor,,12mm crushed stone,,,,,0,
,Structure Work,1st Floor,,18mm Brick Chips,,,,,0,
,Structure Work,1st Floor,,1st class Brick,,,,,0,
,Structure Work,1st Floor,,2nd class Brick,,,,,0,
,Structure Work,1st Floor,,Picket Brick,,,,,0,
,Structure Work,1st Floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,1st Floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,1st Floor,,Contrator Bill,APA,"2,170.00",Sft,192,"416,640.00",55%
,Structure Work,1st Floor,,Form Work,,,,,0,
,Structure Work,2nd Floor,,08mm Rod,,,,,0,
,Structure Work,2nd Floor,,10mm Rod,GPH,"4,357.08",Kg,73.5,"320,245.38",
,Structure Work,2nd Floor,,12mm Rod,GPH,893.08,Kg,73.5,"65,641.38",
,Structure Work,2nd Floor,,16mm Rod,GPH,867.08,Kg,73.5,"63,730.38",
,Structure Work,2nd Floor,,20mm Rod,GPH,"3,250.71",Kg,73.5,"238,927.19",
,Structure Work,2nd Floor,,22mm Rod,,,,,0,
,Structure Work,2nd Floor,,25mm Rod,GPH,189.25,Kg,73.5,"13,909.88",
,Structure Work,2nd Floor,,Cement (OPC/ CEM I),Fresh,385,Bag,425,"163,625.00",
,Structure Work,2nd Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,2nd Floor,,Sand (FM 2.50),APCS,760.02,Cft,55,"41,801.10",
,Structure Work,2nd Floor,,Sand (FM 1.50),APCS,,Cft,28,0,
,Structure Work,2nd Floor,,Viti Sand,,,,,0,
,Structure Work,2nd Floor,,18mm single stone,,,,,0,
,Structure Work,2nd Floor,,18mm crushed stone,APCS,"1,510.00",Cft,195,"294,450.00",
,Structure Work,2nd Floor,,12mm crushed stone,,,,,0,
,Structure Work,2nd Floor,,18mm Brick Chips,,,,,0,
,Structure Work,2nd Floor,,1st class Brick,,,,,0,
,Structure Work,2nd Floor,,2nd class Brick,,,,,0,
,Structure Work,2nd Floor,,Picket Brick,,,,,0,
,Structure Work,2nd Floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,2nd Floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,2nd Floor,,Contrator Bill,APA,"2,192.00",Sft,199,"436,208.00",55%
,Structure Work,2nd Floor,,Form Work,,,,,0,
,Structure Work,3rd Floor,,08mm Rod,,,,,0,
,Structure Work,3rd Floor,,10mm Rod,GPH,"4,300.00",Kg,73.5,"316,050.00",
,Structure Work,3rd Floor,,12mm Rod,GPH,"1,000.46",Kg,73.5,"73,533.81",
,Structure Work,3rd Floor,,16mm Rod,GPH,864.25,Kg,73.5,"63,522.38",
,Structure Work,3rd Floor,,20mm Rod,GPH,"3,210.10",Kg,73.5,"235,942.35",
,Structure Work,3rd Floor,,22mm Rod,,,,,0,
,Structure Work,3rd Floor,,25mm Rod,GPH,189.25,Kg,73.5,"13,909.88",
,Structure Work,3rd Floor,,Cement (OPC/ CEM I),Fresh,385,Bag,425,"163,625.00",
,Structure Work,3rd Floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,3rd Floor,,Sand (FM 2.50),APCS,754.19,Cft,55,"41,480.45",
,Structure Work,3rd Floor,,Sand (FM 1.50),,,,,0,
,Structure Work,3rd Floor,,Viti Sand,,,,,0,
,Structure Work,3rd Floor,,18mm single stone,,,,,0,
,Structure Work,3rd Floor,,18mm crushed stone,APCS,"1,500.00",Cft,195,"292,500.00",
,Structure Work,3rd Floor,,12mm crushed stone,,,,,0,
,Structure Work,3rd Floor,,18mm Brick Chips,,,,,0,
,Structure Work,3rd Floor,,1st class Brick,,,,,0,
,Structure Work,3rd Floor,,2nd class Brick,,,,,0,
,Structure Work,3rd Floor,,Picket Brick,,,,,0,
,Structure Work,3rd Floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,3rd Floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,3rd Floor,,Contrator Bill,APA,"2,170.00",Sft,206,"447,020.00",55%
,Structure Work,3rd Floor,,Form Work,,,,,0,
,Structure Work,4th floor,,08mm Rod,,,,,0,
,Structure Work,4th floor,,10mm Rod,GPH,"4,400.00",Kg,73.5,"323,400.00",
,Structure Work,4th floor,,12mm Rod,GPH,893.08,Kg,73.5,"65,641.38",
,Structure Work,4th floor,,16mm Rod,GPH,"1,627.95",Kg,73.5,"119,654.33",
,Structure Work,4th floor,,20mm Rod,GPH,"2,182.75",Kg,73.5,"160,432.13",
,Structure Work,4th floor,,22mm Rod,,,,,0,
,Structure Work,4th floor,,25mm Rod,,,,,0,
,Structure Work,4th floor,,Cement (OPC/ CEM I),Fresh,385,Bag,425,"163,625.00",
,Structure Work,4th floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,4th floor,,Sand (FM 2.50),APCS,760.02,Cft,55,"41,801.10",
,Structure Work,4th floor,,Sand (FM 1.50),,,,,0,
,Structure Work,4th floor,,Viti Sand,,,,,0,
,Structure Work,4th floor,,18mm single stone,,,,,0,
,Structure Work,4th floor,,18mm crushed stone,APCS,"1,510.00",Cft,195,"294,450.00",
,Structure Work,4th floor,,12mm crushed stone,,,,,0,
,Structure Work,4th floor,,18mm Brick Chips,,,,,0,
,Structure Work,4th floor,,1st class Brick,,,,,0,
,Structure Work,4th floor,,2nd class Brick,,,,,0,
,Structure Work,4th floor,,Picket Brick,,,,,0,
,Structure Work,4th floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,4th floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,4th floor,,Contrator Bill,APA,"2,192.00",Sft,213,"466,896.00",55%
,Structure Work,4th floor,,Form Work,,,,,0,
,Structure Work,5th floor,,08mm Rod,,,,,0,
,Structure Work,5th floor,,10mm Rod,GPH,"4,300.00",Kg,73.5,"316,050.00",
,Structure Work,5th floor,,12mm Rod,GPH,"1,000.46",Kg,73.5,"73,533.81",
,Structure Work,5th floor,,16mm Rod,GPH,"1,625.12",Kg,73.5,"119,446.32",
,Structure Work,5th floor,,20mm Rod,GPH,"2,142.14",Kg,73.5,"157,447.29",
,Structure Work,5th floor,,22mm Rod,,,,,0,
,Structure Work,5th floor,,25mm Rod,,,,,0,
,Structure Work,5th floor,,Cement (OPC/ CEM I),Fresh,385,Bag,425,"163,625.00",
,Structure Work,5th floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,5th floor,,Sand (FM 2.50),APCS,754.19,Cft,55,"41,480.45",
,Structure Work,5th floor,,Sand (FM 1.50),,,,,0,
,Structure Work,5th floor,,Viti Sand,,,,,0,
,Structure Work,5th floor,,18mm single stone,,,,,0,
,Structure Work,5th floor,,18mm crushed stone,APCS,"1,500.00",Cft,195,"292,500.00",
,Structure Work,5th floor,,12mm crushed stone,,,,,0,
,Structure Work,5th floor,,18mm Brick Chips,,,,,0,
,Structure Work,5th floor,,1st class Brick,,,,,0,
,Structure Work,5th floor,,2nd class Brick,,,,,0,
,Structure Work,5th floor,,Picket Brick,,,,,0,
,Structure Work,5th floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,5th floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,5th floor,,Contrator Bill,APA,"2,170.00",Sft,220,"477,400.00",55%
,Structure Work,5th floor,,Form Work,,,,,0,
,Structure Work,6th floor,,08mm Rod,,,,,0,
,Structure Work,6th floor,,10mm Rod,GPH,"4,300.00",Kg,73.5,"316,050.00",
,Structure Work,6th floor,,12mm Rod,GPH,893.08,Kg,73.5,"65,641.38",
,Structure Work,6th floor,,16mm Rod,GPH,"1,627.95",Kg,73.5,"119,654.33",
,Structure Work,6th floor,,20mm Rod,GPH,"2,182.75",Kg,73.5,"160,432.13",
,Structure Work,6th floor,,22mm Rod,,,,,0,
,Structure Work,6th floor,,25mm Rod,,,,,0,
,Structure Work,6th floor,,Cement (OPC/ CEM I),Fresh,385,Bag,425,"163,625.00",
,Structure Work,6th floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,6th floor,,Sand (FM 2.50),APCS,760.02,Cft,55,"41,801.10",
,Structure Work,6th floor,,Sand (FM 1.50),,,,,0,
,Structure Work,6th floor,,Viti Sand,,,,,0,
,Structure Work,6th floor,,18mm single stone,,,,,0,
,Structure Work,6th floor,,18mm crushed stone,APCS,"1,510.00",Cft,195,"294,450.00",
,Structure Work,6th floor,,12mm crushed stone,,,,,0,
,Structure Work,6th floor,,18mm Brick Chips,,,,,0,
,Structure Work,6th floor,,1st class Brick,,,,,0,
,Structure Work,6th floor,,2nd class Brick,,,,,0,
,Structure Work,6th floor,,Picket Brick,,,,,0,
,Structure Work,6th floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,6th floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,6th floor,,Contrator Bill,APA,"2,192.00",Sft,227,"497,584.00",55%
,Structure Work,6th floor,,Form Work,,,,,0,
,Structure Work,7th floor,,08mm Rod,,,,,0,
,Structure Work,7th floor,,10mm Rod,GPH,"4,200.00",Kg,73.5,"308,700.00",
,Structure Work,7th floor,,12mm Rod,GPH,"1,000.46",Kg,73.5,"73,533.81",
,Structure Work,7th floor,,16mm Rod,GPH,"1,676.71",Kg,73.5,"123,238.19",
,Structure Work,7th floor,,20mm Rod,GPH,"1,799.59",Kg,73.5,"132,269.87",
,Structure Work,7th floor,,22mm Rod,,,,,0,
,Structure Work,7th floor,,25mm Rod,,,,,0,
,Structure Work,7th floor,,Cement (OPC/ CEM I),Fresh,385,Bag,425,"163,625.00",
,Structure Work,7th floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,7th floor,,Sand (FM 2.50),APCS,754.19,Cft,55,"41,480.45",
,Structure Work,7th floor,,Sand (FM 1.50),,,,,0,
,Structure Work,7th floor,,Viti Sand,,,,,0,
,Structure Work,7th floor,,18mm single stone,,,,,0,
,Structure Work,7th floor,,18mm crushed stone,APCS,"1,500.00",Cft,195,"292,500.00",
,Structure Work,7th floor,,12mm crushed stone,,,,,0,
,Structure Work,7th floor,,18mm Brick Chips,,,,,0,
,Structure Work,7th floor,,1st class Brick,,,,,0,
,Structure Work,7th floor,,2nd class Brick,,,,,0,
,Structure Work,7th floor,,Picket Brick,,,,,0,
,Structure Work,7th floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,7th floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,7th floor,,Contrator Bill,APA,"2,170.00",Sft,234,"507,780.00",55%
,Structure Work,7th floor,,Form Work,,,,,0,
,Structure Work,8th floor,,08mm Rod,,,,,0,
,Structure Work,8th floor,,10mm Rod,GPH,"4,097.94",Kg,73.5,"301,198.59",
,Structure Work,8th floor,,12mm Rod,GPH,891.04,Kg,73.5,"65,491.44",
,Structure Work,8th floor,,16mm Rod,GPH,"1,670.19",Kg,73.5,"122,758.97",
,Structure Work,8th floor,,20mm Rod,GPH,"1,784.03",Kg,73.5,"131,126.21",
,Structure Work,8th floor,,22mm Rod,,,,,0,
,Structure Work,8th floor,,25mm Rod,,,,,0,
,Structure Work,8th floor,,Cement (OPC/ CEM I),Fresh,365,Bag,425,"155,125.00",
,Structure Work,8th floor,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,8th floor,,Sand (FM 2.50),APCS,726.88,Cft,55,"39,978.40",
,Structure Work,8th floor,,Sand (FM 1.50),,,,,0,
,Structure Work,8th floor,,Viti Sand,,,,,0,
,Structure Work,8th floor,,18mm single stone,,,,,0,
,Structure Work,8th floor,,18mm crushed stone,APCS,"1,470.00",Cft,195,"286,650.00",
,Structure Work,8th floor,,12mm crushed stone,,,,,0,
,Structure Work,8th floor,,18mm Brick Chips,,,,,0,
,Structure Work,8th floor,,1st class Brick,,,,,0,
,Structure Work,8th floor,,2nd class Brick,,,,,0,
,Structure Work,8th floor,,Picket Brick,,,,,0,
,Structure Work,8th floor,,Chemical (ConLub),Baral,15.52,Litre,145,"2,250.40",
,Structure Work,8th floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,8th floor,,Contrator Bill,APA,"2,192.00",Sft,241,"528,272.00",55%
,Structure Work,8th floor,,Form Work,,,,,0,
,Structure Work,Roof Top,,08mm Rod,,,,,0,
,Structure Work,Roof Top,,10mm Rod,GPH,"3,000.00",Kg,73.5,"220,500.00",
,Structure Work,Roof Top,,12mm Rod,GPH,129.18,Kg,73.5,"9,494.73",
,Structure Work,Roof Top,,16mm Rod,GPH,"1,487.87",Kg,73.5,"109,358.45",
,Structure Work,Roof Top,,20mm Rod,GPH,418.38,Kg,73.5,"30,750.93",
,Structure Work,Roof Top,,22mm Rod,,,,,0,
,Structure Work,Roof Top,,25mm Rod,,,,,0,
,Structure Work,Roof Top,,Cement (OPC/ CEM I),Fresh,250,Bag,425,"106,250.00",
,Structure Work,Roof Top,,Cement (PCC/ CEM II),,,,,0,
,Structure Work,Roof Top,,Sand (FM 2.50),APCS,499.52,Cft,55,"27,473.60",
,Structure Work,Roof Top,,Sand (FM 1.50),,,,,0,
,Structure Work,Roof Top,,Viti Sand,,,,,0,
,Structure Work,Roof Top,,18mm single stone,,,,,0,
,Structure Work,Roof Top,,18mm crushed stone,APCS,990,,195,"193,050.00",
,Structure Work,Roof Top,,12mm crushed stone,,,,,0,
,Structure Work,Roof Top,,18mm Brick Chips,,,,,0,
,Structure Work,Roof Top,,1st class Brick,,,,,0,
,Structure Work,Roof Top,,2nd class Brick,,,,,0,
,Structure Work,Roof Top,,Picket Brick,,,,,0,
,Structure Work,Roof Top,,Chemical (ConLub),Baral,15.28,Litre,145,"2,215.60",
,Structure Work,Roof Top,,Daily Labour,,5,Nos,500,"2,500.00",
,Structure Work,Roof Top,,Contrator Bill,APA,"2,192.00",Sft,145,"317,840.00",55%
,Structure Work,Roof Top,,Form Work,,,,,0,
,Brick Work ,Ground Floor,,08mm Rod,,,,,0,
,Brick Work ,Ground Floor,,10mm Rod,,"1,630.00",Kg,73.5,"119,805.00",
,Brick Work ,Ground Floor,,12mm Rod,,,,,0,
,Brick Work ,Ground Floor,,16mm Rod,,"1,500.00",Kg,73.5,"110,250.00",
,Brick Work ,Ground Floor,,Cement (PCC/ CEM II),,250,Bag,405,"101,250.00",
,Brick Work ,Ground Floor,,Sand (FM 2.5),,210,Cft,55,"11,550.00",
,Brick Work ,Ground Floor,,Sand (FM 1.20),,"1,017.20",Cft,28,"28,481.60",
,Brick Work ,Ground Floor,,18mm crushed stone,,,,,0,
,Brick Work ,Ground Floor,,12mm crushed stone,,,,,0,
,Brick Work ,Ground Floor,,18mm Brick Chips,,734,Cft,90,"66,060.00",
,Brick Work ,Ground Floor,,1st class Brick,,"28,000.00",Nos,9,"252,000.00",
,Brick Work ,Ground Floor,,Picket Brick,,,,,0,
,Brick Work ,Ground Floor,,Chemical,,,,,0,
,Brick Work ,Ground Floor,,Daily Labour,,5,Nos,500,"2,500.00",
,Brick Work ,Ground Floor,,Contrator Bill (Reguler),,"2,540.00",Sft,185,"469,900.00",20%
,Brick Work ,Ground Floor,,Contrator Bill (Boundary Wall),,"1,260.00",Sft,70,"88,200.00",25%
,Brick Work ,Ground Floor,,Form Work,,,,,0,
,Brick Work ,Ground Floor,,Nonschedule Material,,,,,0,
,Brick Work ,Ground Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work ,1st Floor,,08mm Rod,,,,,0,
,Brick Work ,1st Floor,,10mm Rod,,532.33,Kg,73.5,"39,126.26",
,Brick Work ,1st Floor,,12mm Rod,,,,,0,
,Brick Work ,1st Floor,,Cement (PCC/ CEM II),,82,Bag,405,"33,210.00",
,Brick Work ,1st Floor,,Sand (FM 1.20),,480.8,Cft,28,"13,462.40",
,Brick Work ,1st Floor,,18mm crushed stone,,,,,0,
,Brick Work ,1st Floor,,12mm crushed stone,,,,,0,
,Brick Work ,1st Floor,,18mm Brick Chips,,113.6,Cft,90,"10,224.00",
,Brick Work ,1st Floor,,1st class Brick,,"16,000.00",Nos,9,"144,000.00",
,Brick Work ,1st Floor,,Picket Brick,,,,,0,
,Brick Work ,1st Floor,,Chemical,,,,,0,
,Brick Work ,1st Floor,,Daily Labour,,2,Nos,500,"1,000.00",
,Brick Work ,1st Floor,,Contrator Bill,,"2,170.00",Sft,192,"416,640.00",20%
,Brick Work ,1st Floor,,Form Work,,,,,0,
,Brick Work ,1st Floor,,Nonschedule Material,,,,,0,
,Brick Work ,1st Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work ,2nd Floor,,08mm Rod,,,,,0,
,Brick Work ,2nd Floor,,10mm Rod,,532.33,Kg,73.5,"39,126.26",
,Brick Work ,2nd Floor,,12mm Rod,,,,,0,
,Brick Work ,2nd Floor,,Cement (PCC/ CEM II),,82,Bag,405,"33,210.00",
,Brick Work ,2nd Floor,,Sand (FM 1.20),,480.8,Cft,28,"13,462.40",
,Brick Work ,2nd Floor,,18mm crushed stone,,,,,0,
,Brick Work ,2nd Floor,,12mm crushed stone,,,,,0,
,Brick Work ,2nd Floor,,18mm Brick Chips,,113.6,Cft,90,"10,224.00",
,Brick Work ,2nd Floor,,1st class Brick,,"16,000.00",Nos,9,"144,000.00",
,Brick Work ,2nd Floor,,Picket Brick,,,,,0,
,Brick Work ,2nd Floor,,Chemical,,,,,0,
,Brick Work ,2nd Floor,,Daily Labour,,2,Nos,500,"1,000.00",
,Brick Work ,2nd Floor,,Contrator Bill,,"2,192.00",Sft,199,"436,208.00",20%
,Brick Work ,2nd Floor,,Form Work,,,,,0,
,Brick Work ,2nd Floor,,Nonschedule Material,,,,,0,
,Brick Work ,2nd Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work ,3rd Floor,,08mm Rod,,,,,0,
,Brick Work ,3rd Floor,,10mm Rod,,532.33,Kg,73.5,"39,126.26",
,Brick Work ,3rd Floor,,12mm Rod,,,,,0,
,Brick Work ,3rd Floor,,Cement (PCC/ CEM II),,82,Bag,405,"33,210.00",
,Brick Work ,3rd Floor,,Sand (FM 1.20),,480.8,Cft,28,"13,462.40",
,Brick Work ,3rd Floor,,18mm crushed stone,,,,,0,
,Brick Work ,3rd Floor,,12mm crushed stone,,,,,0,
,Brick Work ,3rd Floor,,18mm Brick Chips,,113.6,Cft,90,"10,224.00",
,Brick Work ,3rd Floor,,1st class Brick,,"16,000.00",Nos,9,"144,000.00",
,Brick Work ,3rd Floor,,Picket Brick,,,,,0,
,Brick Work ,3rd Floor,,Chemical,,,,,0,
,Brick Work ,3rd Floor,,Daily Labour,,2,Nos,500,"1,000.00",
,Brick Work ,3rd Floor,,Contrator Bill,,"2,170.00",Sft,206,"447,020.00",20%
,Brick Work ,3rd Floor,,Form Work,,,,,0,
,Brick Work ,3rd Floor,,Nonschedule Material,,,,,0,
,Brick Work ,3rd Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work ,4th Floor,,08mm Rod,,,,,0,
,Brick Work ,4th Floor,,10mm Rod,,532.33,Kg,73.5,"39,126.26",
,Brick Work ,4th Floor,,12mm Rod,,,,,0,
,Brick Work ,4th Floor,,Cement (PCC/ CEM II),,82,Bag,405,"33,210.00",
,Brick Work ,4th Floor,,Sand (FM 1.20),,480.8,Cft,28,"13,462.40",
,Brick Work ,4th Floor,,18mm crushed stone,,,,,0,
,Brick Work ,4th Floor,,12mm crushed stone,,,,,0,
